Time,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC
21.1,0.2398,0.7587,0.6802,0.698,0.602,0.65,0.7848,0.4849,0.6348,0.8013,0.6983,0.7498
21.2,0.2457,0.766,0.6917,0.6906,0.6204,0.6555,0.799,0.489,0.644,0.8325,0.7192,0.7758
21.3,0.248,0.767,0.7012,0.6799,0.6339,0.6569,0.8092,0.4939,0.6515,0.8603,0.7393,0.7998
21.4,0.2465,0.7612,0.7085,0.6665,0.6414,0.654,0.8151,0.4989,0.657,0.8835,0.758,0.8208
21.5,0.2416,0.7479,0.7135,0.6512,0.6422,0.6467,0.8166,0.5034,0.66,0.9012,0.7748,0.838
21.6,0.234,0.7273,0.7163,0.6349,0.6359,0.6354,0.8139,0.5074,0.6607,0.9131,0.7896,0.8513
21.7,0.2249,0.7001,0.7174,0.6185,0.6235,0.621,0.8079,0.511,0.6595,0.9197,0.803,0.8614
21.8,0.2156,0.6676,0.7174,0.6026,0.6059,0.6042,0.7992,0.5147,0.657,0.9215,0.8154,0.8685
21.9,0.2069,0.6312,0.7173,0.5878,0.5846,0.5862,0.7881,0.5186,0.6533,0.9189,0.8266,0.8728
22,0.2001,0.593,0.7178,0.575,0.5611,0.568,0.775,0.5224,0.6487,0.9121,0.8365,0.8743
22.1,0.1964,0.5549,0.7196,0.5645,0.5371,0.5508,0.7608,0.526,0.6434,0.9022,0.8453,0.8738
22.2,0.1966,0.5188,0.723,0.5563,0.5142,0.5353,0.7461,0.5295,0.6378,0.8903,0.8533,0.8718
22.3,0.2007,0.4863,0.7279,0.5498,0.4935,0.5217,0.7317,0.5334,0.6325,0.8773,0.8602,0.8688
22.4,0.2071,0.4585,0.7335,0.5443,0.4757,0.51,0.7179,0.5379,0.6279,0.8642,0.866,0.8651
22.5,0.2134,0.436,0.739,0.5392,0.4616,0.5004,0.705,0.5431,0.6241,0.8515,0.8701,0.8608
22.6,0.2186,0.4195,0.7438,0.5341,0.4517,0.4929,0.6931,0.548,0.6206,0.8396,0.8722,0.8559
22.7,0.2226,0.4089,0.747,0.5287,0.4464,0.4875,0.6821,0.5518,0.617,0.8287,0.8722,0.8504
22.8,0.2259,0.4042,0.7481,0.5228,0.4458,0.4843,0.6723,0.5541,0.6132,0.8191,0.8703,0.8447
22.9,0.2291,0.4051,0.7468,0.5165,0.4501,0.4833,0.6644,0.5555,0.61,0.8111,0.8669,0.839
23,0.2319,0.4114,0.7429,0.5105,0.4593,0.4849,0.6594,0.5562,0.6078,0.8045,0.8619,0.8332
23.1,0.2344,0.4228,0.7361,0.5054,0.4727,0.4891,0.6574,0.5566,0.607,0.7994,0.8556,0.8275
23.2,0.2356,0.4385,0.7258,0.5019,0.49,0.4959,0.658,0.5567,0.6074,0.7959,0.8479,0.8219
23.3,0.234,0.4581,0.7113,0.4998,0.5107,0.5053,0.6603,0.5567,0.6085,0.7941,0.839,0.8165
23.4,0.2291,0.4803,0.6924,0.4988,0.5344,0.5166,0.6633,0.5568,0.6101,0.7936,0.8287,0.8112
23.5,0.2216,0.5038,0.669,0.4986,0.5599,0.5292,0.6663,0.5571,0.6117,0.7933,0.8169,0.8051
23.6,0.2121,0.5269,0.6414,0.4987,0.5856,0.5422,0.6685,0.5572,0.6128,0.792,0.8031,0.7975
23.7,0.201,0.5482,0.6105,0.4993,0.6097,0.5545,0.6691,0.5569,0.613,0.7886,0.7871,0.7878
23.8,0.1877,0.5669,0.5773,0.5006,0.6309,0.5657,0.6676,0.5561,0.6119,0.7822,0.7685,0.7754
23.9,0.1706,0.5828,0.5429,0.5027,0.6484,0.5755,0.6637,0.5547,0.6092,0.7723,0.7478,0.76
24,0.1493,0.596,0.5088,0.506,0.6619,0.5839,0.6574,0.5526,0.605,0.7586,0.7256,0.7421
24.1,0.1237,0.6065,0.476,0.5108,0.671,0.5909,0.6489,0.5494,0.5992,0.7412,0.7026,0.7219
24.2,0.095,0.6142,0.4453,0.5174,0.6758,0.5966,0.6381,0.5451,0.5916,0.7203,0.6794,0.6998
24.3,0.065,0.6195,0.417,0.5258,0.6765,0.6012,0.6253,0.5399,0.5826,0.6963,0.6564,0.6764
24.4,0.0353,0.6227,0.3918,0.5363,0.6741,0.6052,0.6112,0.5349,0.5731,0.6699,0.634,0.652
24.5,0.0074,0.624,0.3698,0.5482,0.6692,0.6087,0.5965,0.5306,0.5635,0.6416,0.6125,0.627
24.6,-0.0176,0.6233,0.3516,0.5611,0.6621,0.6116,0.582,0.5268,0.5544,0.6119,0.5922,0.6021
24.7,-0.039,0.6207,0.3375,0.5743,0.6533,0.6138,0.5681,0.5235,0.5458,0.5817,0.5737,0.5777
24.8,-0.0564,0.6168,0.3281,0.5879,0.6434,0.6157,0.5559,0.5209,0.5384,0.5519,0.5578,0.5548
24.9,-0.0697,0.6128,0.3235,0.602,0.6334,0.6177,0.5464,0.5196,0.533,0.5238,0.5452,0.5345
25,-0.0794,0.609,0.3244,0.6164,0.6237,0.62,0.54,0.5197,0.5299,0.4983,0.5361,0.5172
25.1,-0.086,0.6052,0.3305,0.6309,0.6142,0.6225,0.5367,0.5209,0.5288,0.4759,0.5303,0.5031
25.2,-0.0891,0.6008,0.3405,0.6451,0.6045,0.6248,0.5357,0.5227,0.5292,0.4562,0.5266,0.4914
25.3,-0.0886,0.5951,0.3527,0.6586,0.5941,0.6264,0.5363,0.5246,0.5305,0.4391,0.5243,0.4817
25.4,-0.0844,0.5881,0.366,0.6713,0.5828,0.627,0.5379,0.5263,0.5321,0.4246,0.5225,0.4736
25.5,-0.0773,0.5797,0.3798,0.6827,0.5704,0.6266,0.54,0.5279,0.534,0.413,0.5212,0.4671
25.6,-0.0682,0.5702,0.3941,0.6921,0.5572,0.6246,0.5423,0.5293,0.5358,0.4044,0.52,0.4622
25.7,-0.0581,0.5595,0.4085,0.6992,0.543,0.6211,0.5447,0.5303,0.5375,0.3986,0.5185,0.4586
25.8,-0.0473,0.5477,0.4223,0.7036,0.5279,0.6157,0.5466,0.5309,0.5388,0.3952,0.5161,0.4556
25.9,-0.0353,0.5346,0.4351,0.7055,0.512,0.6088,0.5478,0.5312,0.5395,0.3935,0.5126,0.4531
26,-0.0213,0.5203,0.4468,0.7046,0.4957,0.6002,0.548,0.5311,0.5395,0.3935,0.5082,0.4509
26.1,-0.0051,0.5047,0.4584,0.7007,0.4789,0.5898,0.5472,0.531,0.5391,0.3954,0.504,0.4497
26.2,0.0124,0.4885,0.4713,0.6936,0.4621,0.5778,0.546,0.5312,0.5386,0.3995,0.5014,0.4504
26.3,0.0295,0.4727,0.4856,0.6831,0.4457,0.5644,0.545,0.5321,0.5385,0.4059,0.5011,0.4535
26.4,0.0444,0.4581,0.5013,0.6689,0.4301,0.5495,0.5438,0.5338,0.5388,0.4144,0.5034,0.4589
26.5,0.0557,0.4446,0.5181,0.6501,0.4156,0.5328,0.5421,0.5365,0.5393,0.4248,0.5087,0.4667
26.6,0.0625,0.4309,0.5358,0.6254,0.4021,0.5137,0.5389,0.5399,0.5394,0.4364,0.5166,0.4765
26.7,0.0645,0.4158,0.5548,0.5937,0.3891,0.4914,0.5343,0.5438,0.539,0.4487,0.5266,0.4876
26.8,0.0625,0.3983,0.5749,0.5551,0.3758,0.4655,0.529,0.5477,0.5383,0.4615,0.5383,0.4999
26.9,0.0568,0.3789,0.5958,0.5114,0.362,0.4367,0.524,0.5515,0.5378,0.4749,0.5515,0.5132
27,0.048,0.3584,0.6177,0.4652,0.3479,0.4066,0.5199,0.5555,0.5377,0.4892,0.5658,0.5275
27.1,0.0367,0.3384,0.6412,0.4197,0.3343,0.377,0.5172,0.5601,0.5386,0.505,0.5813,0.5431
27.2,0.0244,0.3203,0.6666,0.3774,0.3221,0.3498,0.5166,0.5656,0.5411,0.5226,0.5981,0.5603
27.3,0.0134,0.3059,0.6935,0.3407,0.3123,0.3265,0.5187,0.572,0.5454,0.5416,0.6159,0.5788
27.4,0.0064,0.2969,0.7211,0.3114,0.3051,0.3083,0.5243,0.5792,0.5518,0.5613,0.6342,0.5978
27.5,0.0053,0.2944,0.7483,0.2905,0.3005,0.2955,0.5333,0.587,0.5601,0.581,0.6521,0.6165
27.6,0.0102,0.2983,0.7745,0.2778,0.2985,0.2882,0.5446,0.5955,0.57,0.5999,0.6686,0.6343
27.7,0.0201,0.3086,0.7992,0.2727,0.2993,0.286,0.5572,0.6047,0.581,0.6174,0.6832,0.6503
27.8,0.0335,0.3246,0.8212,0.274,0.3021,0.2881,0.5703,0.6141,0.5922,0.6328,0.6951,0.6639
27.9,0.0486,0.3452,0.8391,0.2804,0.3058,0.2931,0.583,0.6223,0.6027,0.6451,0.7034,0.6742
28,0.0633,0.3686,0.8514,0.2901,0.3097,0.2999,0.5944,0.6283,0.6113,0.6538,0.7073,0.6806
28.1,0.0748,0.3937,0.8573,0.3017,0.313,0.3073,0.6032,0.6313,0.6173,0.6586,0.7068,0.6827
28.2,0.0811,0.4199,0.8559,0.314,0.3155,0.3148,0.6087,0.6309,0.6198,0.6593,0.7015,0.6804
28.3,0.082,0.4465,0.847,0.3261,0.3177,0.3219,0.6106,0.6268,0.6187,0.656,0.6916,0.6738
28.4,0.0782,0.4725,0.8309,0.3376,0.3199,0.3288,0.6091,0.6193,0.6142,0.6489,0.6773,0.6631
28.5,0.0714,0.497,0.8086,0.3485,0.323,0.3358,0.6054,0.6095,0.6074,0.6387,0.6597,0.6492
28.6,0.0626,0.52,0.7818,0.3589,0.3271,0.343,0.6002,0.5983,0.5992,0.6261,0.6397,0.6329
28.7,0.0517,0.5415,0.753,0.368,0.3323,0.3502,0.5941,0.5865,0.5903,0.6121,0.6187,0.6154
28.8,0.0389,0.5618,0.7244,0.3753,0.338,0.3567,0.5875,0.5744,0.581,0.5974,0.5976,0.5975
28.9,0.0253,0.5807,0.6978,0.38,0.3433,0.3617,0.5808,0.562,0.5714,0.5824,0.5772,0.5798
29,0.0124,0.5971,0.6738,0.3817,0.3468,0.3642,0.5742,0.5495,0.5618,0.5675,0.5583,0.5629
29.1,0.002,0.6105,0.653,0.3804,0.3478,0.3641,0.568,0.5369,0.5524,0.5532,0.5418,0.5475
29.2,-0.0047,0.6212,0.6358,0.3766,0.3464,0.3615,0.5623,0.5247,0.5435,0.5401,0.5285,0.5343
29.3,-0.0069,0.63,0.6221,0.3712,0.3432,0.3572,0.5576,0.5134,0.5355,0.5289,0.5189,0.5239
29.4,-0.0042,0.6378,0.6121,0.3651,0.3387,0.3519,0.5541,0.5031,0.5286,0.5201,0.5134,0.5168
29.5,0.003,0.6454,0.6053,0.3591,0.3329,0.346,0.5523,0.494,0.5232,0.5142,0.5122,0.5132
29.6,0.0137,0.6536,0.6012,0.3536,0.3257,0.3397,0.5519,0.486,0.5189,0.5111,0.5148,0.513
29.7,0.0264,0.6628,0.5988,0.3483,0.3177,0.333,0.5528,0.4789,0.5158,0.5107,0.5205,0.5156
29.8,0.0395,0.6735,0.5976,0.3432,0.31,0.3266,0.5549,0.4729,0.5139,0.5129,0.5283,0.5206
29.9,0.0517,0.6856,0.5976,0.3387,0.3038,0.3213,0.5585,0.4679,0.5132,0.5182,0.5376,0.5279
