Time,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC
20.9,0.1133,0.6944,0.6597,0.581,0.7225,0.6518,0.6424,0.518,0.5802,0.7143,0.8504,0.7824
21,0.1466,0.6909,0.6432,0.5814,0.709,0.6452,0.6158,0.4978,0.5568,0.6915,0.8219,0.7567
21.1,0.1837,0.6895,0.6283,0.5847,0.6968,0.6407,0.5932,0.4808,0.537,0.6698,0.7946,0.7322
21.2,0.2248,0.6905,0.6155,0.5911,0.6866,0.6389,0.5751,0.4681,0.5216,0.6495,0.7692,0.7094
21.3,0.2695,0.6944,0.6052,0.6011,0.6792,0.6401,0.5616,0.4611,0.5114,0.6307,0.7464,0.6885
21.4,0.3171,0.7012,0.5975,0.6149,0.6751,0.645,0.5528,0.4608,0.5068,0.614,0.7262,0.6701
21.5,0.3662,0.7108,0.5928,0.6323,0.6747,0.6535,0.5483,0.4674,0.5079,0.5998,0.7089,0.6543
21.6,0.4157,0.7229,0.5915,0.6526,0.6784,0.6655,0.5481,0.4809,0.5145,0.5883,0.6948,0.6415
21.7,0.4638,0.7369,0.5941,0.6746,0.6862,0.6804,0.5516,0.5006,0.5261,0.5796,0.6842,0.6319
21.8,0.5076,0.7522,0.6007,0.697,0.6976,0.6973,0.5581,0.5261,0.5421,0.5733,0.6772,0.6253
21.9,0.5435,0.7683,0.6112,0.7186,0.7122,0.7154,0.5667,0.5566,0.5616,0.569,0.6735,0.6213
22,0.5682,0.7844,0.625,0.7382,0.7297,0.734,0.577,0.5913,0.5842,0.5666,0.6726,0.6196
22.1,0.5799,0.8003,0.6417,0.7555,0.7495,0.7525,0.5889,0.6296,0.6093,0.5657,0.6738,0.6197
22.2,0.5784,0.8156,0.6609,0.7699,0.7709,0.7704,0.6024,0.6702,0.6363,0.5662,0.6767,0.6215
22.3,0.5645,0.8295,0.682,0.7808,0.7931,0.787,0.617,0.7119,0.6644,0.5684,0.6809,0.6247
22.4,0.5389,0.8406,0.704,0.7878,0.8149,0.8013,0.6315,0.753,0.6923,0.5727,0.6857,0.6292
22.5,0.5021,0.8479,0.7256,0.7907,0.8347,0.8127,0.6452,0.792,0.7186,0.579,0.6904,0.6347
22.6,0.4564,0.8506,0.746,0.7897,0.851,0.8204,0.6571,0.8275,0.7423,0.5871,0.6944,0.6408
22.7,0.405,0.8486,0.7645,0.785,0.8627,0.8239,0.6669,0.8585,0.7627,0.5963,0.6975,0.6469
22.8,0.3509,0.8419,0.7805,0.7764,0.869,0.8227,0.6744,0.8839,0.7791,0.606,0.6994,0.6527
22.9,0.2962,0.8305,0.793,0.7638,0.8696,0.8167,0.6792,0.9028,0.791,0.6157,0.6994,0.6576
23,0.2418,0.8148,0.8013,0.7477,0.8649,0.8063,0.6814,0.9148,0.7981,0.625,0.697,0.661
23.1,0.1877,0.7957,0.8048,0.7292,0.8557,0.7925,0.681,0.92,0.8005,0.6335,0.6916,0.6625
23.2,0.1345,0.7739,0.8032,0.7097,0.8429,0.7763,0.6782,0.9186,0.7984,0.6407,0.6828,0.6618
23.3,0.0826,0.7501,0.7963,0.6896,0.8271,0.7584,0.673,0.9105,0.7918,0.6465,0.6706,0.6585
23.4,0.0316,0.7243,0.7844,0.6688,0.8089,0.7388,0.6652,0.896,0.7806,0.6504,0.6551,0.6528
23.5,-0.0181,0.6967,0.7681,0.6469,0.7885,0.7177,0.6544,0.8752,0.7648,0.6525,0.6363,0.6444
23.6,-0.0656,0.6677,0.7484,0.624,0.7667,0.6954,0.6409,0.8492,0.745,0.6527,0.615,0.6338
23.7,-0.109,0.6381,0.7263,0.6008,0.744,0.6724,0.6251,0.8192,0.7222,0.6514,0.5919,0.6217
23.8,-0.1459,0.609,0.7027,0.5777,0.7208,0.6492,0.6079,0.7866,0.6972,0.6493,0.5682,0.6088
23.9,-0.1756,0.5811,0.678,0.5552,0.6972,0.6262,0.5901,0.7524,0.6712,0.6468,0.5447,0.5958
24,-0.1983,0.5546,0.6528,0.5336,0.6737,0.6036,0.5728,0.7178,0.6453,0.6441,0.5222,0.5832
24.1,-0.215,0.5297,0.6278,0.5128,0.6504,0.5816,0.5569,0.6843,0.6206,0.6416,0.5012,0.5714
24.2,-0.2261,0.5063,0.6038,0.4927,0.6277,0.5602,0.5435,0.6535,0.5985,0.6396,0.4822,0.5609
24.3,-0.2311,0.4837,0.5815,0.473,0.6052,0.5391,0.5333,0.6268,0.5801,0.6386,0.4657,0.5521
24.4,-0.2297,0.4614,0.5612,0.4532,0.5829,0.5181,0.5262,0.6052,0.5657,0.6386,0.452,0.5453
24.5,-0.2224,0.4395,0.5429,0.4334,0.5605,0.4969,0.5218,0.5888,0.5553,0.6394,0.4411,0.5403
24.6,-0.2107,0.4184,0.5264,0.4139,0.5382,0.4761,0.5197,0.5777,0.5487,0.6408,0.4327,0.5368
24.7,-0.1962,0.3992,0.5121,0.3955,0.517,0.4562,0.5199,0.5714,0.5456,0.6425,0.4267,0.5346
24.8,-0.1805,0.3827,0.5003,0.3789,0.4978,0.4383,0.5224,0.5698,0.5461,0.6444,0.423,0.5337
24.9,-0.1649,0.3694,0.4916,0.3647,0.4813,0.423,0.5273,0.5727,0.55,0.6465,0.4214,0.534
25,-0.1505,0.3595,0.4862,0.3532,0.4681,0.4107,0.5343,0.5797,0.557,0.6482,0.4219,0.5351
25.1,-0.1386,0.3525,0.4837,0.3447,0.4583,0.4015,0.5428,0.5901,0.5664,0.6491,0.4239,0.5365
25.2,-0.1303,0.3485,0.4835,0.3394,0.4516,0.3955,0.5518,0.6029,0.5774,0.6487,0.4272,0.5379
25.3,-0.1259,0.3473,0.4851,0.3372,0.4478,0.3925,0.5611,0.6172,0.5891,0.6471,0.4317,0.5394
25.4,-0.1249,0.3493,0.4883,0.3386,0.4468,0.3927,0.5705,0.6321,0.6013,0.6447,0.4377,0.5412
25.5,-0.1274,0.3545,0.4931,0.3443,0.4487,0.3965,0.5806,0.647,0.6138,0.6421,0.4455,0.5438
25.6,-0.1343,0.3628,0.5,0.3549,0.4541,0.4045,0.5915,0.6619,0.6267,0.6399,0.4557,0.5478
25.7,-0.1472,0.3736,0.5089,0.3706,0.4636,0.4171,0.6031,0.6761,0.6396,0.6385,0.4685,0.5535
25.8,-0.1669,0.386,0.5199,0.3907,0.4768,0.4338,0.6147,0.6889,0.6518,0.638,0.4842,0.5611
25.9,-0.1933,0.3993,0.5328,0.4145,0.4929,0.4537,0.6255,0.6996,0.6625,0.6379,0.5027,0.5703
26,-0.2246,0.4129,0.5481,0.4408,0.511,0.4759,0.6355,0.7078,0.6716,0.6376,0.5236,0.5806
26.1,-0.2587,0.4266,0.5659,0.4685,0.5303,0.4994,0.645,0.7134,0.6792,0.6366,0.5466,0.5916
26.2,-0.2938,0.4401,0.5863,0.4962,0.55,0.5231,0.6543,0.7169,0.6856,0.6347,0.5708,0.6027
26.3,-0.3288,0.4536,0.609,0.5229,0.5692,0.5461,0.6635,0.7188,0.6912,0.6325,0.5958,0.6141
26.4,-0.3635,0.4675,0.6335,0.5482,0.5876,0.5679,0.6725,0.7199,0.6962,0.6308,0.6209,0.6259
26.5,-0.3973,0.4819,0.6589,0.5717,0.6047,0.5882,0.6809,0.7208,0.7008,0.63,0.6457,0.6379
26.6,-0.4291,0.4964,0.6836,0.5926,0.6202,0.6064,0.6887,0.7218,0.7052,0.6301,0.6692,0.6496
26.7,-0.4584,0.51,0.706,0.6093,0.6334,0.6214,0.6954,0.7229,0.7091,0.6305,0.6903,0.6604
26.8,-0.4857,0.5217,0.7243,0.6206,0.6442,0.6324,0.7007,0.7237,0.7122,0.6313,0.7083,0.6698
26.9,-0.5125,0.5309,0.7371,0.6262,0.6525,0.6393,0.7043,0.7245,0.7144,0.633,0.7228,0.6779
27,-0.5404,0.5378,0.7442,0.6265,0.6585,0.6425,0.7061,0.7255,0.7158,0.6361,0.7339,0.685
27.1,-0.5698,0.5431,0.7456,0.6227,0.6628,0.6427,0.7057,0.7269,0.7163,0.6405,0.7421,0.6913
27.2,-0.5999,0.5469,0.7419,0.6156,0.6654,0.6405,0.7029,0.7284,0.7157,0.645,0.7467,0.6959
27.3,-0.6293,0.5496,0.733,0.6058,0.6665,0.6362,0.6976,0.7297,0.7137,0.6482,0.7474,0.6978
27.4,-0.6568,0.5513,0.7193,0.5938,0.6663,0.6301,0.6899,0.7306,0.7102,0.6491,0.7438,0.6965
27.5,-0.6824,0.5524,0.7013,0.5802,0.6653,0.6228,0.6798,0.7308,0.7053,0.6479,0.7364,0.6921
27.6,-0.7057,0.5529,0.6798,0.5656,0.6635,0.6145,0.6671,0.7298,0.6985,0.6446,0.7255,0.685
27.7,-0.7264,0.5526,0.6556,0.5504,0.6606,0.6055,0.6513,0.7269,0.6891,0.6389,0.711,0.675
27.8,-0.7429,0.5513,0.6298,0.5353,0.6559,0.5956,0.6321,0.7212,0.6766,0.6298,0.6926,0.6612
27.9,-0.7533,0.5492,0.6034,0.5217,0.6491,0.5854,0.6097,0.7122,0.661,0.6165,0.6702,0.6434
28,-0.7564,0.5467,0.5775,0.5109,0.6406,0.5757,0.5852,0.6998,0.6425,0.5988,0.6439,0.6214
28.1,-0.7519,0.5434,0.5531,0.5039,0.6306,0.5672,0.5596,0.6841,0.6218,0.5772,0.6144,0.5958
28.2,-0.739,0.5388,0.5317,0.5008,0.6189,0.5598,0.5336,0.666,0.5998,0.5525,0.5824,0.5675
28.3,-0.7168,0.532,0.5141,0.5009,0.6051,0.553,0.508,0.6462,0.5771,0.5256,0.5489,0.5372
28.4,-0.6843,0.5223,0.5005,0.504,0.5891,0.5465,0.4836,0.625,0.5543,0.4972,0.5148,0.506
28.5,-0.6422,0.51,0.4912,0.5099,0.5714,0.5406,0.4618,0.6032,0.5325,0.4684,0.4814,0.4749
28.6,-0.5925,0.4961,0.4867,0.5184,0.5526,0.5355,0.444,0.5818,0.5129,0.4403,0.4506,0.4454
28.7,-0.5379,0.4817,0.4878,0.5293,0.5337,0.5315,0.4317,0.5625,0.4971,0.4139,0.4235,0.4187
28.8,-0.4799,0.4674,0.4941,0.5419,0.515,0.5284,0.4256,0.5467,0.4861,0.3898,0.4008,0.3953
28.9,-0.4201,0.4531,0.5047,0.5549,0.4966,0.5257,0.4256,0.5349,0.4802,0.3686,0.3822,0.3754
29,-0.3603,0.4393,0.5181,0.5675,0.4785,0.523,0.4313,0.5269,0.4791,0.3504,0.3678,0.3591
29.1,-0.3021,0.4266,0.5331,0.5789,0.4614,0.5201,0.4416,0.5221,0.4819,0.3353,0.3575,0.3464
29.2,-0.2465,0.4156,0.549,0.5887,0.4457,0.5172,0.4555,0.5197,0.4876,0.3227,0.3508,0.3368
29.3,-0.1946,0.407,0.5657,0.5972,0.4324,0.5148,0.4723,0.5195,0.4959,0.3128,0.3475,0.3302
29.4,-0.1477,0.4013,0.5835,0.6048,0.4224,0.5136,0.4921,0.5217,0.5069,0.3059,0.3479,0.3269
29.5,-0.1076,0.3986,0.6021,0.6114,0.4165,0.5139,0.5148,0.5268,0.5208,0.3028,0.3526,0.3277
29.6,-0.0761,0.3985,0.621,0.6167,0.415,0.5159,0.539,0.5344,0.5367,0.3046,0.3628,0.3337
29.7,-0.0545,0.4001,0.6389,0.6203,0.4179,0.5191,0.5633,0.544,0.5536,0.3118,0.3793,0.3455
29.8,-0.0423,0.402,0.6544,0.6213,0.4242,0.5228,0.5857,0.5541,0.5699,0.324,0.4021,0.3631
29.9,-0.0384,0.4025,0.6665,0.6197,0.4321,0.5259,0.6048,0.5637,0.5842,0.3407,0.43,0.3854
