Time,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC
21.1,0.3289,0.9236,0.8518,0.9882,0.7134,0.8508,0.6911,0.7396,0.7153,0.843,0.8761,0.8596
21.2,0.3668,0.9046,0.8335,0.9762,0.7251,0.8506,0.7171,0.7703,0.7437,0.8425,0.8574,0.8499
21.3,0.4039,0.8834,0.8128,0.9613,0.7333,0.8473,0.7362,0.8012,0.7687,0.8386,0.8341,0.8363
21.4,0.4403,0.8606,0.7904,0.9438,0.7375,0.8406,0.7496,0.8318,0.7907,0.8321,0.8076,0.8199
21.5,0.475,0.8366,0.7664,0.9231,0.7374,0.8303,0.7586,0.8615,0.8101,0.8243,0.78,0.8021
21.6,0.5063,0.8119,0.7405,0.8986,0.7326,0.8156,0.7643,0.8893,0.8268,0.8166,0.7529,0.7847
21.7,0.5317,0.7871,0.7127,0.8705,0.7229,0.7967,0.7674,0.9142,0.8408,0.8103,0.7277,0.769
21.8,0.5493,0.7633,0.6838,0.84,0.7089,0.7745,0.7682,0.9359,0.8521,0.8059,0.705,0.7554
21.9,0.5589,0.7412,0.6552,0.8087,0.6918,0.7503,0.7675,0.9547,0.8611,0.8025,0.685,0.7437
22,0.5617,0.7213,0.6283,0.7779,0.6733,0.7256,0.7657,0.9708,0.8683,0.7994,0.6676,0.7335
22.1,0.5589,0.7039,0.604,0.7481,0.6549,0.7015,0.7632,0.9841,0.8736,0.7961,0.6527,0.7244
22.2,0.5515,0.6893,0.583,0.7197,0.6379,0.6788,0.7605,0.9942,0.8773,0.7926,0.6398,0.7162
22.3,0.5395,0.6777,0.5661,0.693,0.6229,0.6579,0.7582,1.0014,0.8798,0.789,0.6283,0.7087
22.4,0.5232,0.6692,0.5542,0.6683,0.6101,0.6392,0.7571,1.0063,0.8817,0.7857,0.6181,0.7019
22.5,0.5039,0.6634,0.5478,0.6464,0.5997,0.623,0.7575,1.0093,0.8834,0.7825,0.6091,0.6958
22.6,0.4832,0.6598,0.5469,0.6281,0.5913,0.6097,0.7594,1.0107,0.8851,0.7793,0.601,0.6902
22.7,0.4621,0.658,0.5506,0.6139,0.5847,0.5993,0.7626,1.0105,0.8865,0.7761,0.5935,0.6848
22.8,0.441,0.6576,0.5576,0.6044,0.5796,0.592,0.7668,1.0087,0.8878,0.7729,0.5856,0.6792
22.9,0.4194,0.658,0.5663,0.5995,0.5762,0.5879,0.7721,1.0056,0.8888,0.7694,0.5767,0.6731
23,0.3972,0.6586,0.5759,0.5992,0.5749,0.5871,0.7781,1.0013,0.8897,0.7654,0.5667,0.666
23.1,0.3747,0.6587,0.5854,0.6026,0.5756,0.5891,0.7841,0.9959,0.89,0.7601,0.5549,0.6575
23.2,0.3528,0.6582,0.5936,0.6085,0.5781,0.5933,0.7892,0.9889,0.889,0.753,0.541,0.647
23.3,0.3333,0.6568,0.5996,0.6158,0.5816,0.5987,0.7919,0.9797,0.8858,0.7434,0.5248,0.6341
23.4,0.3169,0.6542,0.6028,0.623,0.5853,0.6041,0.7915,0.9679,0.8797,0.7314,0.5065,0.619
23.5,0.3038,0.6501,0.603,0.6287,0.5889,0.6088,0.788,0.9538,0.8709,0.7173,0.4873,0.6023
23.6,0.2935,0.6445,0.6006,0.6326,0.5928,0.6127,0.7822,0.938,0.8601,0.7016,0.4686,0.5851
23.7,0.2854,0.6376,0.5961,0.6348,0.5972,0.616,0.7753,0.9216,0.8484,0.685,0.4513,0.5682
23.8,0.2792,0.6297,0.5899,0.6358,0.6018,0.6188,0.7679,0.9053,0.8366,0.6682,0.4362,0.5522
23.9,0.2742,0.6212,0.5829,0.6359,0.6059,0.6209,0.7602,0.8897,0.8249,0.6519,0.4242,0.5381
24,0.2696,0.6117,0.5758,0.635,0.6082,0.6216,0.7521,0.8749,0.8135,0.6367,0.416,0.5264
24.1,0.264,0.6012,0.5691,0.6327,0.6077,0.6202,0.744,0.8611,0.8025,0.6227,0.413,0.5178
24.2,0.2561,0.5902,0.5636,0.6294,0.605,0.6172,0.7362,0.8486,0.7924,0.6097,0.4162,0.513
24.3,0.245,0.5797,0.5599,0.6258,0.6011,0.6135,0.7292,0.8376,0.7834,0.5984,0.4265,0.5125
24.4,0.2307,0.5708,0.5585,0.6226,0.5969,0.6097,0.7232,0.8286,0.7759,0.5896,0.4444,0.517
24.5,0.2144,0.5636,0.5599,0.6195,0.5923,0.6059,0.7181,0.8216,0.7698,0.5835,0.4694,0.5264
24.6,0.1974,0.5577,0.5642,0.6157,0.5867,0.6012,0.7134,0.8162,0.7648,0.5798,0.5003,0.54
24.7,0.1817,0.5523,0.5712,0.6102,0.5791,0.5947,0.7089,0.8121,0.7605,0.5778,0.5358,0.5568
24.8,0.1685,0.5474,0.5804,0.6029,0.5699,0.5864,0.7041,0.8085,0.7563,0.5769,0.5745,0.5757
24.9,0.1574,0.5444,0.5916,0.5944,0.5604,0.5774,0.6985,0.8056,0.752,0.5771,0.6144,0.5957
25,0.1464,0.5449,0.6054,0.5854,0.5525,0.5689,0.6915,0.8037,0.7476,0.5782,0.6537,0.6159
25.1,0.1338,0.5505,0.6228,0.5769,0.5477,0.5623,0.6829,0.8035,0.7432,0.58,0.6915,0.6357
25.2,0.119,0.5615,0.6448,0.5694,0.547,0.5582,0.673,0.8055,0.7392,0.582,0.727,0.6545
25.3,0.1021,0.5771,0.6715,0.5629,0.5504,0.5566,0.6622,0.8096,0.7359,0.5839,0.7598,0.6718
25.4,0.0828,0.596,0.7018,0.5567,0.558,0.5574,0.6502,0.8153,0.7328,0.5861,0.7894,0.6878
25.5,0.0596,0.6175,0.7342,0.5501,0.57,0.5601,0.6363,0.8215,0.7289,0.5891,0.8154,0.7023
25.6,0.031,0.6407,0.767,0.5422,0.5856,0.5639,0.62,0.8276,0.7238,0.5928,0.8371,0.715
25.7,-0.0029,0.6643,0.7985,0.5326,0.6032,0.5679,0.6014,0.8329,0.7172,0.5973,0.8546,0.7259
25.8,-0.0397,0.6865,0.8269,0.5206,0.6201,0.5704,0.5808,0.8363,0.7086,0.6024,0.8678,0.7351
25.9,-0.0769,0.7051,0.8506,0.5059,0.6341,0.57,0.558,0.8362,0.6971,0.6086,0.8764,0.7425
26,-0.1134,0.7187,0.8683,0.4881,0.6431,0.5656,0.5324,0.8316,0.682,0.616,0.8804,0.7482
26.1,-0.1496,0.7267,0.8797,0.4672,0.6465,0.5568,0.5041,0.8219,0.663,0.6244,0.8798,0.7521
26.2,-0.1857,0.7294,0.8852,0.4438,0.6446,0.5442,0.474,0.8077,0.6408,0.6327,0.8748,0.7538
26.3,-0.2212,0.7268,0.8851,0.4184,0.6376,0.528,0.4436,0.7892,0.6164,0.6399,0.866,0.7529
26.4,-0.2559,0.7188,0.8791,0.3912,0.6246,0.5079,0.4138,0.7664,0.5901,0.6449,0.8532,0.749
26.5,-0.2898,0.705,0.867,0.3618,0.604,0.4829,0.3853,0.739,0.5622,0.6464,0.8362,0.7413
26.6,-0.3234,0.6854,0.8488,0.3308,0.5744,0.4526,0.359,0.7075,0.5332,0.6431,0.8145,0.7288
26.7,-0.3567,0.6605,0.8257,0.2998,0.5365,0.4181,0.3359,0.6736,0.5048,0.6345,0.7885,0.7115
26.8,-0.3889,0.6313,0.7993,0.2715,0.4926,0.382,0.3176,0.6404,0.479,0.6207,0.7591,0.6899
26.9,-0.4181,0.599,0.7714,0.2488,0.4463,0.3476,0.3048,0.6103,0.4575,0.6024,0.7273,0.6649
27,-0.4406,0.5654,0.7433,0.2341,0.4004,0.3173,0.2975,0.5851,0.4413,0.5802,0.6937,0.6369
27.1,-0.4513,0.532,0.7161,0.2284,0.3561,0.2923,0.2956,0.5655,0.4306,0.5536,0.6583,0.606
27.2,-0.4467,0.4997,0.6904,0.2317,0.3136,0.2727,0.2986,0.5515,0.425,0.5225,0.6211,0.5718
27.3,-0.4259,0.4694,0.6666,0.2437,0.2735,0.2586,0.3064,0.5427,0.4245,0.4872,0.5827,0.535
27.4,-0.3904,0.4419,0.6447,0.264,0.2375,0.2507,0.3187,0.5385,0.4286,0.4489,0.5446,0.4967
27.5,-0.3415,0.4188,0.6247,0.2915,0.208,0.2497,0.3352,0.5383,0.4367,0.409,0.5077,0.4583
27.6,-0.2797,0.4017,0.6066,0.3246,0.1866,0.2556,0.3548,0.5417,0.4483,0.3681,0.4725,0.4203
27.7,-0.2043,0.3917,0.5903,0.3617,0.1729,0.2673,0.3765,0.5485,0.4625,0.3267,0.4391,0.3829
27.8,-0.1161,0.3882,0.5759,0.401,0.1658,0.2834,0.399,0.558,0.4785,0.2846,0.4074,0.346
27.9,-0.0196,0.3903,0.5632,0.4408,0.1645,0.3026,0.4215,0.569,0.4953,0.2424,0.3779,0.3101
28,0.0783,0.3973,0.5519,0.4797,0.1686,0.3242,0.4433,0.5803,0.5118,0.201,0.3508,0.2759
28.1,0.1707,0.4095,0.5419,0.5169,0.1785,0.3477,0.4642,0.5907,0.5275,0.1617,0.3265,0.2441
28.2,0.2523,0.427,0.5331,0.552,0.1947,0.3734,0.4838,0.5999,0.5419,0.125,0.305,0.215
28.3,0.3191,0.4492,0.5254,0.5846,0.2169,0.4007,0.5019,0.6078,0.5549,0.0911,0.2864,0.1887
28.4,0.3685,0.4739,0.5182,0.6137,0.2437,0.4287,0.5186,0.6141,0.5663,0.0599,0.2711,0.1655
28.5,0.3998,0.4978,0.5109,0.6381,0.2727,0.4554,0.5335,0.6175,0.5755,0.0315,0.2594,0.1454
28.6,0.4137,0.5184,0.5027,0.6569,0.302,0.4794,0.5465,0.617,0.5818,0.0057,0.2513,0.1285
28.7,0.4116,0.5338,0.4931,0.6701,0.3311,0.5006,0.5574,0.6123,0.5849,-0.0176,0.2467,0.1146
28.8,0.3956,0.5446,0.4822,0.6789,0.3607,0.5198,0.5655,0.6043,0.5849,-0.0382,0.2458,0.1038
28.9,0.368,0.5517,0.4707,0.6844,0.3914,0.5379,0.5703,0.594,0.5821,-0.0558,0.249,0.0966
29,0.3317,0.5552,0.4596,0.6869,0.4229,0.5549,0.5721,0.5823,0.5772,-0.0696,0.2573,0.0939
29.1,0.2891,0.5543,0.4497,0.6862,0.4545,0.5704,0.571,0.5695,0.5703,-0.0781,0.2712,0.0965
29.2,0.2429,0.549,0.4416,0.682,0.4853,0.5836,0.5672,0.5557,0.5615,-0.0795,0.2914,0.1059
29.3,0.195,0.5402,0.4359,0.675,0.5146,0.5948,0.5606,0.5415,0.5511,-0.0719,0.3182,0.1231
29.4,0.1477,0.5294,0.4336,0.6661,0.5426,0.6044,0.5521,0.528,0.5401,-0.0543,0.352,0.1488
29.5,0.1028,0.5177,0.4356,0.6562,0.5694,0.6128,0.5429,0.5164,0.5296,-0.0264,0.3921,0.1829
29.6,0.0621,0.5058,0.4424,0.6453,0.5949,0.6201,0.5341,0.5069,0.5205,0.0115,0.437,0.2243
29.7,0.0267,0.4942,0.4538,0.6331,0.6183,0.6257,0.5267,0.4991,0.5129,0.0583,0.4845,0.2714
29.8,-0.0029,0.4838,0.4703,0.6198,0.6388,0.6293,0.5214,0.4925,0.507,0.1131,0.5321,0.3226
29.9,-0.0263,0.4759,0.4928,0.6064,0.656,0.6312,0.5187,0.4874,0.5031,0.175,0.5778,0.3764
