Time,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC
21.2,-0.0372,0.8674,0.5938,0.8783,0.9804,0.9293,0.5912,0.569,0.5801,0.8529,0.8226,0.8377
21.3,-0.0255,0.8591,0.588,0.8903,0.9788,0.9346,0.5757,0.541,0.5583,0.8497,0.8114,0.8305
21.4,-0.0084,0.8472,0.5795,0.8988,0.9687,0.9337,0.5572,0.5086,0.5329,0.8444,0.798,0.8212
21.5,0.012,0.8324,0.5685,0.9037,0.9506,0.9272,0.5354,0.4725,0.5039,0.8361,0.7817,0.8089
21.6,0.0327,0.8151,0.5551,0.9047,0.9257,0.9152,0.5098,0.4329,0.4714,0.8236,0.7622,0.7929
21.7,0.0501,0.7958,0.5391,0.9008,0.8955,0.8981,0.4805,0.3901,0.4353,0.8062,0.7389,0.7726
21.8,0.0611,0.7753,0.5204,0.8914,0.8619,0.8766,0.4476,0.3447,0.3962,0.7842,0.7119,0.748
21.9,0.0633,0.7551,0.4989,0.8767,0.8268,0.8517,0.4118,0.298,0.3549,0.7583,0.6818,0.7201
22,0.0549,0.7368,0.4752,0.8577,0.7925,0.8251,0.374,0.2522,0.3131,0.7299,0.6495,0.6897
22.1,0.0355,0.7217,0.4503,0.8363,0.7612,0.7987,0.3358,0.2099,0.2728,0.7004,0.6162,0.6583
22.2,0.0058,0.7104,0.4254,0.8143,0.7349,0.7746,0.2994,0.1733,0.2363,0.6708,0.5827,0.6267
22.3,-0.0315,0.7028,0.4011,0.794,0.7147,0.7543,0.2663,0.1431,0.2047,0.6423,0.5499,0.5961
22.4,-0.0738,0.6991,0.3777,0.7766,0.7007,0.7387,0.2374,0.1187,0.1781,0.6158,0.5182,0.567
22.5,-0.1181,0.6992,0.3552,0.7634,0.692,0.7277,0.2127,0.0995,0.1561,0.5922,0.4888,0.5405
22.6,-0.1609,0.7029,0.3341,0.7552,0.6872,0.7212,0.1924,0.0845,0.1384,0.5719,0.4629,0.5174
22.7,-0.1996,0.71,0.3148,0.7528,0.6851,0.7189,0.1765,0.0728,0.1246,0.555,0.4415,0.4982
22.8,-0.2323,0.7199,0.2972,0.7568,0.6847,0.7207,0.165,0.0634,0.1142,0.5405,0.4248,0.4826
22.9,-0.2581,0.732,0.2812,0.7672,0.6849,0.7261,0.157,0.0554,0.1062,0.5272,0.412,0.4696
23,-0.2771,0.7457,0.2666,0.7837,0.6847,0.7342,0.1514,0.0484,0.0999,0.5142,0.4023,0.4582
23.1,-0.2899,0.7602,0.2532,0.8061,0.6833,0.7447,0.1473,0.0423,0.0948,0.5005,0.3949,0.4477
23.2,-0.2977,0.7749,0.2417,0.834,0.6807,0.7573,0.145,0.0377,0.0914,0.4862,0.3891,0.4377
23.3,-0.3011,0.7888,0.2329,0.8672,0.6771,0.7721,0.1454,0.0357,0.0905,0.4715,0.385,0.4283
23.4,-0.3001,0.8011,0.2277,0.9048,0.6724,0.7886,0.149,0.0373,0.0932,0.4567,0.3823,0.4195
23.5,-0.2937,0.8114,0.2264,0.9451,0.6662,0.8057,0.1563,0.0435,0.0999,0.4418,0.3809,0.4114
23.6,-0.2831,0.8193,0.2289,0.9854,0.6585,0.822,0.1669,0.0546,0.1107,0.4271,0.3809,0.404
23.7,-0.2709,0.8242,0.2351,1.0228,0.6496,0.8362,0.181,0.0709,0.126,0.4126,0.3823,0.3975
23.8,-0.2603,0.8255,0.245,1.0541,0.6398,0.847,0.1992,0.0925,0.1458,0.3989,0.3854,0.3922
23.9,-0.2533,0.822,0.259,1.0762,0.6295,0.8528,0.2211,0.1193,0.1702,0.3872,0.3909,0.3891
24,-0.2496,0.8128,0.2775,1.0869,0.6182,0.8525,0.2457,0.1511,0.1984,0.3791,0.4001,0.3896
24.1,-0.2471,0.7975,0.3007,1.0853,0.6057,0.8455,0.2715,0.1871,0.2293,0.3756,0.4143,0.395
24.2,-0.2437,0.7763,0.3284,1.0715,0.5925,0.832,0.2972,0.226,0.2616,0.3771,0.434,0.4055
24.3,-0.2388,0.7507,0.3603,1.0467,0.5799,0.8133,0.3221,0.2663,0.2942,0.3827,0.4585,0.4206
24.4,-0.2328,0.7227,0.3953,1.0132,0.5695,0.7913,0.3455,0.3063,0.3259,0.3917,0.4866,0.4392
24.5,-0.2263,0.695,0.4324,0.9738,0.5623,0.768,0.3663,0.344,0.3551,0.4041,0.5172,0.4607
24.6,-0.2194,0.6697,0.4706,0.9316,0.5585,0.7451,0.3834,0.3783,0.3809,0.4207,0.5499,0.4853
24.7,-0.2115,0.6485,0.5094,0.8895,0.5582,0.7239,0.3965,0.4091,0.4028,0.4422,0.5844,0.5133
24.8,-0.2019,0.6317,0.5479,0.8495,0.5612,0.7054,0.4063,0.4362,0.4212,0.469,0.6201,0.5445
24.9,-0.1902,0.6195,0.5858,0.813,0.5674,0.6902,0.414,0.4602,0.4371,0.5012,0.6558,0.5785
25,-0.1765,0.611,0.6222,0.7807,0.5762,0.6785,0.421,0.4812,0.4511,0.5384,0.6903,0.6143
25.1,-0.1611,0.6056,0.6563,0.7524,0.587,0.6697,0.4277,0.4997,0.4637,0.5796,0.7228,0.6512
25.2,-0.1444,0.6022,0.6872,0.7277,0.599,0.6633,0.4342,0.5158,0.475,0.6229,0.7525,0.6877
25.3,-0.1266,0.6,0.714,0.7062,0.6112,0.6587,0.4404,0.5295,0.4849,0.6654,0.7788,0.7221
25.4,-0.108,0.598,0.7356,0.6876,0.6228,0.6552,0.4461,0.5407,0.4934,0.7044,0.8008,0.7526
25.5,-0.0882,0.5954,0.7513,0.6717,0.6326,0.6522,0.4514,0.5486,0.5,0.7376,0.8179,0.7778
25.6,-0.0664,0.5916,0.7607,0.6586,0.6398,0.6492,0.4562,0.5527,0.5045,0.7641,0.8299,0.797
25.7,-0.0419,0.5867,0.764,0.6484,0.6437,0.6461,0.4605,0.553,0.5067,0.7837,0.8374,0.8105
25.8,-0.0148,0.5813,0.7616,0.6412,0.6444,0.6428,0.4642,0.5496,0.5069,0.7969,0.8407,0.8188
25.9,0.0135,0.5761,0.7543,0.637,0.6424,0.6397,0.4679,0.5431,0.5055,0.8045,0.8407,0.8226
26,0.0414,0.5717,0.7431,0.6357,0.6383,0.637,0.4719,0.5338,0.5028,0.8072,0.8381,0.8227
26.1,0.0673,0.5687,0.7291,0.6366,0.6332,0.6349,0.4761,0.522,0.4991,0.8052,0.8333,0.8192
26.2,0.09,0.5674,0.7135,0.6396,0.6281,0.6338,0.4809,0.5091,0.495,0.7992,0.8266,0.8129
26.3,0.1096,0.568,0.6975,0.6443,0.6238,0.634,0.4865,0.4964,0.4915,0.7904,0.8187,0.8046
26.4,0.1263,0.5706,0.6823,0.6508,0.621,0.6359,0.4933,0.4857,0.4895,0.7806,0.8102,0.7954
26.5,0.1398,0.5754,0.6683,0.6588,0.6205,0.6397,0.5013,0.4778,0.4895,0.7709,0.8017,0.7863
26.6,0.1498,0.5822,0.6563,0.6684,0.6224,0.6454,0.5103,0.4735,0.4919,0.7621,0.7935,0.7778
26.7,0.1558,0.5908,0.6468,0.6792,0.6266,0.6529,0.5202,0.4732,0.4967,0.7542,0.7859,0.77
26.8,0.1578,0.601,0.6408,0.6911,0.633,0.662,0.5312,0.4774,0.5043,0.7472,0.7789,0.7631
26.9,0.1559,0.6128,0.6389,0.7038,0.6417,0.6728,0.5434,0.4862,0.5148,0.7412,0.7728,0.757
27,0.1498,0.6262,0.6414,0.7174,0.6531,0.6852,0.5571,0.4997,0.5284,0.7369,0.7679,0.7524
27.1,0.1394,0.6412,0.6486,0.7316,0.6674,0.6995,0.5724,0.5172,0.5448,0.7349,0.7642,0.7495
27.2,0.1247,0.6571,0.6604,0.7457,0.6845,0.7151,0.5889,0.5382,0.5636,0.7355,0.7618,0.7486
27.3,0.1066,0.6734,0.6766,0.7593,0.7036,0.7315,0.6064,0.5621,0.5842,0.7384,0.76,0.7492
27.4,0.0863,0.6892,0.6965,0.7718,0.7238,0.7478,0.624,0.5882,0.6061,0.7425,0.7581,0.7503
27.5,0.0642,0.7042,0.7191,0.7826,0.7444,0.7635,0.6411,0.6157,0.6284,0.7464,0.755,0.7507
27.6,0.0404,0.7181,0.7431,0.7913,0.7649,0.7781,0.6571,0.6436,0.6504,0.7489,0.7499,0.7494
27.7,0.0149,0.7308,0.7675,0.7979,0.7854,0.7917,0.6716,0.6714,0.6715,0.7492,0.7421,0.7457
27.8,-0.0115,0.7421,0.7916,0.8029,0.8057,0.8043,0.6848,0.6986,0.6917,0.7471,0.7309,0.739
27.9,-0.0373,0.7522,0.8149,0.8068,0.8253,0.816,0.6969,0.7247,0.7108,0.7422,0.7157,0.7289
28,-0.0608,0.761,0.8366,0.8103,0.8436,0.827,0.7083,0.7491,0.7287,0.7339,0.6956,0.7148
28.1,-0.0814,0.7685,0.8553,0.814,0.8606,0.8373,0.7191,0.7711,0.7451,0.7215,0.6694,0.6954
28.2,-0.0992,0.775,0.8696,0.8181,0.8764,0.8472,0.7291,0.79,0.7596,0.7037,0.636,0.6698
28.3,-0.1142,0.7803,0.8781,0.8229,0.8908,0.8569,0.7385,0.8054,0.772,0.6801,0.5948,0.6374
28.4,-0.1264,0.7843,0.8801,0.828,0.9035,0.8658,0.7474,0.8167,0.782,0.6504,0.5463,0.5984
28.5,-0.1355,0.7869,0.8754,0.833,0.9135,0.8732,0.7555,0.8233,0.7894,0.6153,0.4922,0.5538
28.6,-0.1412,0.7887,0.8638,0.8374,0.9205,0.879,0.7628,0.8246,0.7937,0.5758,0.4353,0.5055
28.7,-0.1434,0.7903,0.8457,0.8414,0.9248,0.8831,0.7695,0.8206,0.7951,0.5334,0.3784,0.4559
28.8,-0.1419,0.7919,0.822,0.8455,0.9268,0.8861,0.7758,0.8121,0.7939,0.4901,0.3239,0.407
28.9,-0.1364,0.7935,0.7938,0.8504,0.9266,0.8885,0.7822,0.8,0.7911,0.4474,0.2737,0.3606
29,-0.1262,0.7946,0.7623,0.8559,0.9239,0.8899,0.7886,0.7852,0.7869,0.4069,0.229,0.3179
29.1,-0.1115,0.7952,0.7285,0.8615,0.9186,0.89,0.7948,0.7682,0.7815,0.3696,0.1907,0.2801
29.2,-0.0935,0.7954,0.6933,0.8659,0.9107,0.8883,0.8004,0.7492,0.7748,0.3364,0.1595,0.248
29.3,-0.0736,0.7952,0.6577,0.8688,0.9014,0.8851,0.8056,0.7288,0.7672,0.3078,0.1353,0.2216
29.4,-0.0528,0.7952,0.6227,0.8701,0.8917,0.8809,0.8105,0.7077,0.7591,0.2832,0.1176,0.2004
29.5,-0.0314,0.7953,0.5884,0.8698,0.8823,0.8761,0.8152,0.6858,0.7505,0.262,0.1053,0.1836
29.6,-0.0094,0.7953,0.5544,0.8678,0.8736,0.8707,0.8192,0.6631,0.7411,0.243,0.0974,0.1702
29.7,0.0121,0.7949,0.5203,0.8635,0.865,0.8643,0.822,0.6392,0.7306,0.2258,0.0932,0.1595
29.8,0.0313,0.7937,0.4865,0.8565,0.8563,0.8564,0.823,0.6135,0.7183,0.2098,0.0922,0.151
29.9,0.0466,0.7915,0.4536,0.8467,0.8472,0.847,0.822,0.5852,0.7036,0.1944,0.0943,0.1443
