Time,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC
21.2,0.2162,0.3527,0.479,0.3644,0.2897,0.3271,0.5339,0.5937,0.5638,0.5547,0.5181,0.5364
21.3,0.173,0.3433,0.4464,0.3582,0.2644,0.3113,0.5388,0.5962,0.5675,0.5546,0.493,0.5238
21.4,0.1311,0.3383,0.4148,0.3547,0.2406,0.2976,0.545,0.5969,0.571,0.5575,0.472,0.5148
21.5,0.0923,0.3372,0.3852,0.3533,0.2193,0.2863,0.5528,0.5964,0.5746,0.5631,0.4553,0.5092
21.6,0.059,0.3392,0.3591,0.3536,0.2015,0.2776,0.5615,0.596,0.5788,0.5704,0.4427,0.5065
21.7,0.0339,0.3444,0.3376,0.356,0.1878,0.2719,0.5707,0.5968,0.5837,0.5781,0.4339,0.506
21.8,0.0184,0.3529,0.3211,0.3608,0.1786,0.2697,0.5793,0.5988,0.589,0.5857,0.4288,0.5072
21.9,0.0116,0.3649,0.3098,0.3682,0.1744,0.2713,0.5868,0.6017,0.5943,0.5927,0.4264,0.5095
22,0.0115,0.3803,0.3032,0.3779,0.1753,0.2766,0.5927,0.6055,0.5991,0.599,0.4257,0.5123
22.1,0.0158,0.399,0.3011,0.389,0.1807,0.2849,0.5966,0.6107,0.6036,0.6038,0.4256,0.5147
22.2,0.0229,0.4209,0.3038,0.4009,0.1901,0.2955,0.5983,0.6181,0.6082,0.6066,0.4256,0.5161
22.3,0.0318,0.4461,0.3114,0.4134,0.2033,0.3083,0.5984,0.6283,0.6133,0.6073,0.4252,0.5163
22.4,0.0432,0.4743,0.3237,0.4264,0.2208,0.3236,0.5971,0.6411,0.6191,0.6061,0.4243,0.5152
22.5,0.0574,0.5049,0.3402,0.4401,0.2429,0.3415,0.5946,0.6557,0.6252,0.6036,0.4225,0.513
22.6,0.0745,0.5374,0.3604,0.4542,0.2698,0.362,0.5908,0.6715,0.6311,0.6001,0.4197,0.5099
22.7,0.0941,0.5718,0.3844,0.4686,0.3019,0.3853,0.5855,0.6886,0.637,0.5958,0.4156,0.5057
22.8,0.1138,0.608,0.412,0.4836,0.3399,0.4118,0.579,0.7071,0.6431,0.591,0.4102,0.5006
22.9,0.1315,0.6458,0.4429,0.4988,0.3841,0.4415,0.5718,0.7273,0.6496,0.5857,0.4038,0.4948
23,0.1456,0.6843,0.4765,0.5137,0.4339,0.4738,0.5642,0.7488,0.6565,0.58,0.3967,0.4883
23.1,0.1555,0.7221,0.5122,0.5275,0.4879,0.5077,0.5564,0.7711,0.6638,0.5736,0.3888,0.4812
23.2,0.1613,0.7579,0.5492,0.5403,0.5442,0.5422,0.5484,0.7935,0.671,0.566,0.3797,0.4728
23.3,0.164,0.7909,0.5867,0.552,0.6009,0.5765,0.5403,0.8148,0.6775,0.5566,0.3694,0.463
23.4,0.1647,0.8205,0.623,0.5629,0.6564,0.6096,0.5323,0.8339,0.6831,0.5456,0.3582,0.4519
23.5,0.1637,0.8462,0.6562,0.5725,0.7093,0.6409,0.5254,0.8493,0.6873,0.5339,0.347,0.4405
23.6,0.1605,0.867,0.6842,0.5806,0.7578,0.6692,0.52,0.8598,0.6899,0.5227,0.3369,0.4298
23.7,0.1546,0.8825,0.7053,0.5867,0.8,0.6933,0.5166,0.8643,0.6904,0.5125,0.329,0.4208
23.8,0.1464,0.8925,0.7186,0.5907,0.8344,0.7125,0.5154,0.8623,0.6889,0.5038,0.3248,0.4143
23.9,0.137,0.8971,0.7238,0.5921,0.86,0.7261,0.5166,0.8537,0.6851,0.4968,0.326,0.4114
24,0.1281,0.8964,0.7215,0.5905,0.8761,0.7333,0.52,0.8394,0.6797,0.4924,0.3338,0.4131
24.1,0.1204,0.8904,0.712,0.5857,0.8816,0.7336,0.5255,0.8206,0.6731,0.4915,0.3487,0.4201
24.2,0.1136,0.8797,0.6958,0.5781,0.8759,0.727,0.5327,0.7983,0.6655,0.4943,0.3699,0.4321
24.3,0.1072,0.8647,0.6742,0.5685,0.8591,0.7138,0.5413,0.7737,0.6575,0.5001,0.3969,0.4485
24.4,0.1021,0.8458,0.649,0.5583,0.8325,0.6954,0.551,0.748,0.6495,0.5075,0.4283,0.4679
24.5,0.0997,0.8237,0.6219,0.5489,0.7982,0.6736,0.5614,0.7219,0.6417,0.515,0.4623,0.4887
24.6,0.1013,0.7992,0.594,0.5413,0.759,0.6501,0.5716,0.696,0.6338,0.5219,0.4963,0.5091
24.7,0.1078,0.773,0.5661,0.5355,0.7171,0.6263,0.5808,0.6705,0.6257,0.528,0.5277,0.5278
24.8,0.1199,0.7456,0.5389,0.5311,0.6742,0.6027,0.5884,0.6463,0.6173,0.5331,0.5546,0.5438
24.9,0.1379,0.7175,0.5135,0.5276,0.6315,0.5796,0.5942,0.6241,0.6091,0.5372,0.5765,0.5568
25,0.1604,0.6894,0.4911,0.5249,0.5908,0.5578,0.5981,0.6047,0.6014,0.5405,0.5937,0.5671
25.1,0.1852,0.6621,0.4727,0.5234,0.5538,0.5386,0.6005,0.5888,0.5947,0.5436,0.6067,0.5752
25.2,0.2099,0.6363,0.4592,0.5231,0.5226,0.5228,0.6023,0.5775,0.5899,0.5469,0.6165,0.5817
25.3,0.232,0.6127,0.4518,0.5234,0.4982,0.5108,0.6045,0.5719,0.5882,0.551,0.6242,0.5876
25.4,0.2504,0.5916,0.4506,0.5238,0.481,0.5024,0.6081,0.5728,0.5905,0.5563,0.6309,0.5936
25.5,0.2647,0.5728,0.4553,0.5241,0.4705,0.4973,0.614,0.5806,0.5973,0.5631,0.6374,0.6002
25.6,0.2739,0.5563,0.4651,0.5243,0.466,0.4952,0.6223,0.5951,0.6087,0.5719,0.6442,0.608
25.7,0.2776,0.542,0.479,0.524,0.4663,0.4951,0.6331,0.6153,0.6242,0.5832,0.6513,0.6173
25.8,0.2759,0.5303,0.497,0.5229,0.4703,0.4966,0.6459,0.6401,0.643,0.5971,0.6591,0.6281
25.9,0.2683,0.5215,0.5188,0.5207,0.477,0.4989,0.6602,0.6681,0.6642,0.6133,0.6677,0.6405
26,0.2549,0.5159,0.5439,0.5179,0.4859,0.5019,0.6754,0.6984,0.6869,0.6316,0.6775,0.6545
26.1,0.2366,0.5135,0.5716,0.5148,0.496,0.5054,0.6907,0.7297,0.7102,0.6514,0.6882,0.6698
26.2,0.2145,0.5135,0.6009,0.5114,0.5065,0.5089,0.7057,0.7613,0.7335,0.672,0.6999,0.6859
26.3,0.1894,0.5153,0.6309,0.5074,0.5169,0.5121,0.7204,0.7925,0.7565,0.6927,0.7123,0.7025
26.4,0.162,0.5187,0.6608,0.5026,0.5273,0.515,0.7348,0.8222,0.7785,0.713,0.7252,0.7191
26.5,0.1332,0.5236,0.6895,0.4976,0.5387,0.5181,0.7489,0.8496,0.7992,0.7321,0.738,0.735
26.6,0.1036,0.5302,0.7157,0.4932,0.5523,0.5227,0.7623,0.8738,0.818,0.7496,0.7499,0.7497
26.7,0.0742,0.5382,0.7374,0.4901,0.5682,0.5291,0.7747,0.8943,0.8345,0.7645,0.7605,0.7625
26.8,0.0454,0.5466,0.7522,0.4886,0.5856,0.5371,0.7864,0.9104,0.8484,0.7763,0.7691,0.7727
26.9,0.0173,0.5539,0.7579,0.4883,0.6034,0.5458,0.7971,0.9211,0.8591,0.7842,0.7749,0.7795
27,-0.0103,0.559,0.7529,0.4885,0.6211,0.5548,0.8063,0.9254,0.8658,0.7874,0.7769,0.7822
27.1,-0.0367,0.5611,0.7376,0.4891,0.6393,0.5642,0.8133,0.9229,0.8681,0.7859,0.7748,0.7803
27.2,-0.0603,0.5601,0.7141,0.49,0.6586,0.5743,0.8174,0.9143,0.8658,0.78,0.7691,0.7746
27.3,-0.0802,0.5557,0.6843,0.4911,0.6787,0.5849,0.8184,0.9009,0.8596,0.7704,0.76,0.7652
27.4,-0.0963,0.5475,0.6495,0.4916,0.6978,0.5947,0.8158,0.8837,0.8498,0.7572,0.7464,0.7518
27.5,-0.1085,0.5358,0.6108,0.4905,0.7141,0.6023,0.8092,0.863,0.8361,0.7407,0.7274,0.734
27.6,-0.1162,0.5207,0.5702,0.4867,0.7266,0.6067,0.7982,0.8385,0.8184,0.7214,0.703,0.7122
27.7,-0.1179,0.5028,0.5309,0.4793,0.7354,0.6074,0.7831,0.8105,0.7968,0.7004,0.6746,0.6875
27.8,-0.113,0.4828,0.4964,0.4681,0.7407,0.6044,0.7644,0.7798,0.7721,0.6793,0.6433,0.6613
27.9,-0.103,0.4616,0.469,0.4531,0.743,0.598,0.7426,0.747,0.7448,0.6602,0.6098,0.635
28,-0.0908,0.4403,0.4497,0.4347,0.7424,0.5886,0.7187,0.7125,0.7156,0.6456,0.5758,0.6107
28.1,-0.079,0.4192,0.4395,0.4133,0.7391,0.5762,0.6942,0.6773,0.6857,0.637,0.5434,0.5902
28.2,-0.0697,0.3983,0.4397,0.3897,0.7334,0.5616,0.6713,0.6432,0.6572,0.6357,0.5153,0.5755
28.3,-0.0653,0.3784,0.4522,0.3652,0.7263,0.5458,0.6522,0.6124,0.6323,0.6423,0.4929,0.5676
28.4,-0.0672,0.3606,0.4768,0.3413,0.7188,0.53,0.6383,0.5868,0.6126,0.6565,0.4766,0.5665
28.5,-0.076,0.3465,0.5116,0.3194,0.7115,0.5154,0.6302,0.5673,0.5987,0.6775,0.4655,0.5715
28.6,-0.0911,0.337,0.5524,0.3004,0.7048,0.5026,0.6278,0.5538,0.5908,0.7034,0.4586,0.581
28.7,-0.1111,0.3324,0.5948,0.2847,0.6983,0.4915,0.6308,0.5461,0.5884,0.7323,0.4549,0.5936
28.8,-0.1356,0.3323,0.6352,0.2726,0.6917,0.4821,0.6389,0.5439,0.5914,0.7629,0.4529,0.6079
28.9,-0.1647,0.3368,0.6715,0.2642,0.6846,0.4744,0.652,0.547,0.5995,0.7946,0.4511,0.6228
29,-0.1997,0.3464,0.7024,0.26,0.6767,0.4683,0.6693,0.5543,0.6118,0.8265,0.4483,0.6374
29.1,-0.24,0.3609,0.7274,0.2596,0.6677,0.4636,0.6895,0.5645,0.627,0.8575,0.444,0.6507
29.2,-0.2835,0.38,0.7456,0.2624,0.6578,0.4601,0.7114,0.5756,0.6435,0.8865,0.438,0.6623
29.3,-0.3277,0.4027,0.7562,0.2685,0.6475,0.458,0.734,0.5866,0.6603,0.9128,0.4309,0.6719
29.4,-0.3701,0.4279,0.7583,0.2789,0.6376,0.4583,0.757,0.5967,0.6769,0.9364,0.423,0.6797
29.5,-0.4091,0.4552,0.7515,0.2949,0.6288,0.4619,0.7801,0.6054,0.6928,0.9566,0.4136,0.6851
29.6,-0.4443,0.4844,0.7361,0.317,0.6219,0.4694,0.8026,0.6127,0.7077,0.9723,0.4017,0.687
29.7,-0.4755,0.5158,0.7123,0.3447,0.6175,0.4811,0.8241,0.6178,0.721,0.9823,0.3868,0.6845
29.8,-0.5017,0.5488,0.6804,0.3773,0.6156,0.4965,0.8435,0.6202,0.7318,0.9849,0.3686,0.6768
29.9,-0.5222,0.5825,0.641,0.4139,0.6161,0.515,0.8597,0.619,0.7394,0.9787,0.3483,0.6635
