Time,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC
21.2,0.2156,0.6806,0.6361,0.8988,0.8524,0.8756,0.4034,0.7089,0.5562,0.3125,0.2818,0.2971
21.3,0.2275,0.6786,0.6091,0.8948,0.846,0.8704,0.4064,0.6999,0.5532,0.3288,0.2909,0.3098
21.4,0.2425,0.6768,0.5756,0.8906,0.8364,0.8635,0.4069,0.6863,0.5466,0.3441,0.301,0.3225
21.5,0.2616,0.6754,0.5361,0.8861,0.8234,0.8547,0.4054,0.6684,0.5369,0.3584,0.3115,0.335
21.6,0.2858,0.6736,0.4914,0.8812,0.8063,0.8438,0.4024,0.6465,0.5244,0.3718,0.3218,0.3468
21.7,0.3156,0.6708,0.4423,0.8752,0.7851,0.8302,0.3983,0.6209,0.5096,0.3843,0.331,0.3576
21.8,0.3507,0.6661,0.3895,0.8677,0.76,0.8139,0.3939,0.5926,0.4933,0.3959,0.3385,0.3672
21.9,0.3901,0.6596,0.334,0.8583,0.7321,0.7952,0.3898,0.5629,0.4763,0.4066,0.3442,0.3754
22,0.4331,0.6514,0.2775,0.8469,0.7026,0.7748,0.3868,0.5329,0.4598,0.4167,0.3476,0.3821
22.1,0.4787,0.6419,0.2219,0.8339,0.6723,0.7531,0.3854,0.5038,0.4446,0.4257,0.3485,0.3871
22.2,0.525,0.631,0.1691,0.82,0.642,0.731,0.3858,0.4766,0.4312,0.4334,0.3466,0.39
22.3,0.5695,0.6191,0.1209,0.8065,0.6128,0.7096,0.3879,0.4522,0.42,0.4398,0.3423,0.391
22.4,0.6096,0.6068,0.0796,0.7944,0.5859,0.6902,0.3916,0.4315,0.4115,0.4453,0.3365,0.3909
22.5,0.6437,0.595,0.0471,0.7843,0.5624,0.6734,0.3968,0.4151,0.4059,0.4511,0.3309,0.391
22.6,0.6702,0.5842,0.0244,0.7758,0.5422,0.659,0.4033,0.4031,0.4032,0.458,0.3268,0.3924
22.7,0.688,0.5741,0.0119,0.7675,0.5248,0.6462,0.4106,0.3954,0.403,0.4664,0.3252,0.3958
22.8,0.6961,0.5642,0.0088,0.7583,0.5101,0.6342,0.4177,0.3915,0.4046,0.4755,0.3261,0.4008
22.9,0.6941,0.5542,0.0136,0.7477,0.4986,0.6231,0.4238,0.3913,0.4075,0.4846,0.3289,0.4068
23,0.682,0.5442,0.0243,0.7357,0.4908,0.6132,0.428,0.394,0.411,0.4925,0.333,0.4128
23.1,0.6603,0.5345,0.0392,0.7226,0.4863,0.6044,0.43,0.3994,0.4147,0.4985,0.3381,0.4183
23.2,0.6297,0.5257,0.0569,0.7089,0.4841,0.5965,0.4296,0.4067,0.4182,0.5017,0.3442,0.4229
23.3,0.5914,0.5187,0.0765,0.6954,0.4836,0.5895,0.4273,0.416,0.4217,0.5022,0.3513,0.4268
23.4,0.5461,0.5145,0.098,0.6832,0.4853,0.5842,0.4238,0.4279,0.4259,0.5015,0.3595,0.4305
23.5,0.4949,0.514,0.1222,0.6733,0.4906,0.5819,0.4203,0.4435,0.4319,0.5009,0.3691,0.435
23.6,0.4387,0.5181,0.1498,0.6661,0.5006,0.5834,0.4179,0.4629,0.4404,0.5019,0.3803,0.4411
23.7,0.3789,0.5269,0.1813,0.6616,0.5152,0.5884,0.4174,0.4858,0.4516,0.5052,0.3932,0.4492
23.8,0.3172,0.5401,0.2165,0.6595,0.5334,0.5964,0.4191,0.5114,0.4652,0.5107,0.4074,0.4591
23.9,0.2564,0.5563,0.2546,0.6598,0.5534,0.6066,0.423,0.5387,0.4809,0.5187,0.4221,0.4704
24,0.1994,0.5747,0.2942,0.6626,0.5737,0.6182,0.4291,0.567,0.4981,0.5289,0.4363,0.4826
24.1,0.1483,0.5939,0.3345,0.6676,0.5927,0.6302,0.4372,0.5953,0.5163,0.5409,0.4488,0.4948
24.2,0.1037,0.6131,0.3748,0.6739,0.6094,0.6417,0.447,0.6221,0.5345,0.5541,0.4588,0.5064
24.3,0.065,0.6319,0.4153,0.6806,0.6237,0.6521,0.4582,0.646,0.5521,0.5675,0.4658,0.5166
24.4,0.0319,0.6502,0.4558,0.687,0.6362,0.6616,0.4703,0.6665,0.5684,0.5801,0.4689,0.5245
24.5,0.005,0.6676,0.4957,0.6928,0.6475,0.6702,0.4831,0.6837,0.5834,0.5904,0.467,0.5287
24.6,-0.0154,0.6836,0.5336,0.6978,0.6576,0.6777,0.496,0.6974,0.5967,0.5968,0.4592,0.528
24.7,-0.0296,0.6977,0.5677,0.7018,0.666,0.6839,0.5083,0.7072,0.6078,0.5985,0.4446,0.5216
24.8,-0.0385,0.7097,0.5964,0.7043,0.6726,0.6884,0.5193,0.7125,0.6159,0.5952,0.4233,0.5092
24.9,-0.0428,0.7195,0.6187,0.7055,0.6773,0.6914,0.5283,0.713,0.6206,0.5874,0.3958,0.4916
25,-0.0436,0.727,0.6332,0.7053,0.6807,0.693,0.5347,0.7087,0.6217,0.5758,0.363,0.4694
25.1,-0.0419,0.7317,0.6383,0.7041,0.6826,0.6933,0.5385,0.6997,0.6191,0.561,0.326,0.4435
25.2,-0.0375,0.7335,0.6333,0.7017,0.6827,0.6922,0.5395,0.6858,0.6127,0.543,0.2858,0.4144
25.3,-0.0294,0.7329,0.6191,0.6987,0.6809,0.6898,0.5374,0.667,0.6022,0.5221,0.2439,0.383
25.4,-0.0165,0.7302,0.5976,0.6952,0.6769,0.6861,0.5324,0.6437,0.588,0.4988,0.2015,0.3502
25.5,0.0015,0.7256,0.5704,0.6914,0.6704,0.6809,0.5252,0.6166,0.5709,0.4739,0.1602,0.317
25.6,0.0246,0.719,0.5389,0.6871,0.6607,0.6739,0.5163,0.5869,0.5516,0.4479,0.1209,0.2844
25.7,0.0532,0.71,0.5045,0.6822,0.6475,0.6649,0.506,0.5554,0.5307,0.4214,0.0849,0.2532
25.8,0.0879,0.699,0.4692,0.6764,0.6308,0.6536,0.4944,0.523,0.5087,0.395,0.0529,0.224
25.9,0.1285,0.6862,0.4349,0.6693,0.6111,0.6402,0.4817,0.4904,0.486,0.3693,0.0253,0.1973
26,0.1737,0.6721,0.403,0.6608,0.5888,0.6248,0.4679,0.4585,0.4632,0.3442,0.0015,0.1728
26.1,0.2224,0.6569,0.3738,0.6508,0.5644,0.6076,0.4533,0.428,0.4407,0.3192,-0.0194,0.1499
26.2,0.2741,0.6414,0.3473,0.6396,0.5379,0.5888,0.438,0.3995,0.4187,0.2944,-0.0377,0.1284
26.3,0.3285,0.6264,0.3231,0.6274,0.5101,0.5688,0.4219,0.3733,0.3976,0.2701,-0.053,0.1086
26.4,0.3836,0.6124,0.3014,0.6143,0.4817,0.548,0.4056,0.3497,0.3777,0.2472,-0.0645,0.0914
26.5,0.4371,0.5996,0.2825,0.6005,0.454,0.5272,0.3898,0.3292,0.3595,0.2261,-0.0713,0.0774
26.6,0.4874,0.588,0.267,0.586,0.4279,0.507,0.375,0.3121,0.3435,0.2071,-0.0733,0.0669
26.7,0.5336,0.5774,0.2553,0.571,0.4043,0.4877,0.3617,0.2984,0.33,0.1907,-0.0707,0.06
26.8,0.5749,0.5676,0.2476,0.5553,0.3837,0.4695,0.3496,0.2877,0.3186,0.1777,-0.0641,0.0568
26.9,0.6096,0.5579,0.2437,0.5387,0.3658,0.4522,0.3384,0.2794,0.3089,0.1677,-0.0545,0.0566
27,0.6369,0.5474,0.2419,0.5209,0.3499,0.4354,0.328,0.2724,0.3002,0.1601,-0.0428,0.0587
27.1,0.6567,0.5355,0.2406,0.502,0.3353,0.4187,0.3177,0.2661,0.2919,0.1546,-0.0302,0.0622
27.2,0.6685,0.5216,0.2387,0.4823,0.3218,0.402,0.3067,0.26,0.2834,0.15,-0.0181,0.0659
27.3,0.6713,0.5057,0.236,0.4623,0.3095,0.3859,0.2942,0.254,0.2741,0.1456,-0.0075,0.069
27.4,0.6633,0.4883,0.2331,0.4425,0.2991,0.3708,0.2802,0.2472,0.2637,0.1406,0.0012,0.0709
27.5,0.6432,0.4699,0.2303,0.4233,0.2911,0.3572,0.2653,0.2392,0.2523,0.1356,0.0088,0.0722
27.6,0.6115,0.451,0.2278,0.4049,0.2856,0.3453,0.2508,0.2293,0.2401,0.1309,0.0158,0.0734
27.7,0.5708,0.4319,0.2255,0.3876,0.2822,0.3349,0.2372,0.2178,0.2275,0.126,0.0216,0.0738
27.8,0.5246,0.413,0.223,0.3715,0.2804,0.326,0.2246,0.2051,0.2149,0.12,0.0252,0.0726
27.9,0.4759,0.3942,0.2201,0.3564,0.2799,0.3182,0.2132,0.1918,0.2025,0.1124,0.0265,0.0694
28,0.4259,0.375,0.2165,0.3423,0.2804,0.3113,0.2031,0.1782,0.1907,0.1039,0.026,0.0649
28.1,0.3755,0.3549,0.2122,0.3291,0.2812,0.3051,0.1942,0.1643,0.1793,0.0955,0.0246,0.0601
28.2,0.3257,0.3336,0.2072,0.3166,0.2821,0.2994,0.1864,0.15,0.1682,0.0884,0.0231,0.0557
28.3,0.2776,0.3114,0.2017,0.3051,0.2831,0.2941,0.1795,0.1358,0.1576,0.0833,0.0219,0.0526
28.4,0.2322,0.2894,0.1962,0.295,0.2845,0.2898,0.1739,0.1222,0.1481,0.0805,0.0215,0.051
28.5,0.1901,0.269,0.1909,0.2874,0.2868,0.2871,0.1703,0.11,0.1401,0.0798,0.0219,0.0508
28.6,0.1518,0.2518,0.1859,0.2831,0.2901,0.2866,0.1688,0.0996,0.1342,0.0801,0.023,0.0515
28.7,0.1166,0.2384,0.181,0.282,0.294,0.288,0.1692,0.0909,0.13,0.0805,0.0244,0.0525
28.8,0.0834,0.2283,0.1762,0.2834,0.2979,0.2907,0.171,0.0842,0.1276,0.0815,0.0259,0.0537
28.9,0.0508,0.2214,0.1716,0.2864,0.3013,0.2938,0.1736,0.0802,0.1269,0.084,0.0273,0.0556
29,0.0182,0.2174,0.1673,0.2907,0.3037,0.2972,0.1764,0.0792,0.1278,0.0889,0.0285,0.0587
29.1,-0.014,0.2173,0.1637,0.2966,0.3058,0.3012,0.179,0.0818,0.1304,0.0969,0.0296,0.0633
29.2,-0.0453,0.2216,0.1611,0.3045,0.3083,0.3064,0.181,0.0882,0.1346,0.1078,0.0302,0.069
29.3,-0.0747,0.2306,0.1594,0.3137,0.3114,0.3126,0.182,0.0983,0.1402,0.1211,0.0298,0.0755
29.4,-0.1005,0.2437,0.1581,0.3236,0.3148,0.3192,0.1819,0.1123,0.1471,0.1367,0.0291,0.0829
29.5,-0.121,0.2605,0.1573,0.3333,0.318,0.3257,0.1808,0.1297,0.1553,0.1556,0.0288,0.0922
29.6,-0.1356,0.2802,0.1574,0.3429,0.3213,0.3321,0.179,0.1499,0.1645,0.1784,0.0298,0.1041
29.7,-0.1447,0.3016,0.159,0.3522,0.3249,0.3386,0.1773,0.1721,0.1747,0.2049,0.0325,0.1187
29.8,-0.1488,0.3231,0.1626,0.3612,0.329,0.3451,0.1771,0.1956,0.1864,0.2349,0.0372,0.1361
29.9,-0.1477,0.3435,0.1692,0.3698,0.3336,0.3517,0.1794,0.2202,0.1998,0.2681,0.0442,0.1562
