Time,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC
20.6,0.0316,0.0635,0.8474,0.3259,0.1121,0.219,0.7349,0.6819,0.7084,0.5948,0.7549,0.6748
20.7,0.062,0.0347,0.8714,0.3215,0.0814,0.2014,0.7562,0.7063,0.7313,0.6185,0.7827,0.7006
20.8,0.0919,0.0083,0.8913,0.3173,0.055,0.1862,0.7788,0.7311,0.7549,0.643,0.8049,0.724
20.9,0.1209,-0.0145,0.9063,0.3137,0.0347,0.1742,0.8027,0.7558,0.7793,0.6675,0.82,0.7437
21,0.1474,-0.0334,0.9156,0.3107,0.0209,0.1658,0.8279,0.7801,0.804,0.691,0.8279,0.7594
21.1,0.1691,-0.0481,0.9185,0.3084,0.014,0.1612,0.8541,0.8029,0.8285,0.713,0.8294,0.7712
21.2,0.184,-0.0587,0.9131,0.3065,0.0137,0.1601,0.8806,0.8224,0.8515,0.733,0.8256,0.7793
21.3,0.191,-0.0646,0.8987,0.3049,0.0202,0.1626,0.9064,0.8372,0.8718,0.7505,0.8175,0.784
21.4,0.1899,-0.0649,0.8758,0.3046,0.033,0.1688,0.9308,0.8473,0.8891,0.7654,0.8065,0.786
21.5,0.1817,-0.0594,0.8459,0.3066,0.0512,0.1789,0.9536,0.8536,0.9036,0.7784,0.7945,0.7864
21.6,0.1691,-0.0481,0.8102,0.3116,0.0736,0.1926,0.9738,0.8565,0.9152,0.7893,0.7827,0.786
21.7,0.1558,-0.0314,0.7692,0.3191,0.0997,0.2094,0.9906,0.8565,0.9235,0.7982,0.7715,0.7848
21.8,0.1458,-0.0092,0.7234,0.3286,0.1292,0.2289,1.0031,0.8544,0.9287,0.8045,0.7606,0.7826
21.9,0.143,0.019,0.6745,0.3414,0.1609,0.2511,1.0112,0.8514,0.9313,0.8077,0.7498,0.7788
22,0.1513,0.0537,0.6253,0.3589,0.1935,0.2762,1.0145,0.8483,0.9314,0.8077,0.7394,0.7735
22.1,0.1735,0.0947,0.5788,0.383,0.2263,0.3046,1.0124,0.8451,0.9288,0.8044,0.7298,0.7671
22.2,0.21,0.1416,0.537,0.4137,0.2589,0.3363,1.0042,0.8412,0.9227,0.7979,0.7208,0.7593
22.3,0.2586,0.1928,0.5006,0.4494,0.2913,0.3703,0.9891,0.8355,0.9123,0.7882,0.7115,0.7499
22.4,0.3135,0.2455,0.4697,0.4874,0.323,0.4052,0.9674,0.8273,0.8973,0.7759,0.7013,0.7386
22.5,0.366,0.2963,0.4443,0.5246,0.3534,0.439,0.9403,0.8164,0.8784,0.7616,0.6902,0.7259
22.6,0.4089,0.3424,0.425,0.5581,0.3819,0.47,0.9093,0.8034,0.8564,0.746,0.6788,0.7124
22.7,0.4394,0.3824,0.412,0.5865,0.4087,0.4976,0.8753,0.789,0.8322,0.7296,0.6675,0.6985
22.8,0.4583,0.4162,0.4052,0.6098,0.4343,0.5221,0.8389,0.7739,0.8064,0.7126,0.6559,0.6842
22.9,0.4668,0.4445,0.4045,0.6287,0.4589,0.5438,0.8006,0.7583,0.7794,0.695,0.6437,0.6694
23,0.4659,0.4677,0.4105,0.644,0.4826,0.5633,0.7619,0.7424,0.7522,0.678,0.6311,0.6545
23.1,0.4571,0.4868,0.4233,0.6556,0.5055,0.5806,0.7252,0.7269,0.726,0.6634,0.6191,0.6413
23.2,0.4421,0.5027,0.4422,0.6634,0.5278,0.5956,0.6919,0.7123,0.7021,0.6535,0.609,0.6312
23.3,0.423,0.5161,0.4649,0.6671,0.5494,0.6083,0.6629,0.6987,0.6808,0.6493,0.6012,0.6253
23.4,0.4018,0.5278,0.4892,0.6673,0.5699,0.6186,0.6389,0.6864,0.6626,0.6512,0.5955,0.6234
23.5,0.3805,0.538,0.513,0.6643,0.5883,0.6263,0.6202,0.6749,0.6476,0.6597,0.5919,0.6258
23.6,0.3604,0.5475,0.5348,0.6591,0.6041,0.6316,0.6075,0.6639,0.6357,0.675,0.5905,0.6328
23.7,0.3423,0.5568,0.5538,0.6521,0.6169,0.6345,0.6007,0.6533,0.627,0.6965,0.5915,0.644
23.8,0.3263,0.5672,0.5689,0.6444,0.6274,0.6359,0.5993,0.6432,0.6213,0.7219,0.5936,0.6578
23.9,0.3124,0.5792,0.5789,0.6366,0.637,0.6368,0.6026,0.6331,0.6178,0.7485,0.5959,0.6722
24,0.3001,0.5929,0.5833,0.6288,0.6472,0.638,0.6094,0.6226,0.616,0.7734,0.5976,0.6855
24.1,0.2884,0.6079,0.5824,0.6208,0.6581,0.6394,0.6186,0.6114,0.615,0.794,0.5984,0.6962
24.2,0.2759,0.6241,0.5772,0.6125,0.6693,0.6409,0.6295,0.6,0.6147,0.808,0.5983,0.7032
24.3,0.261,0.6418,0.5692,0.6046,0.68,0.6423,0.6412,0.5889,0.615,0.8143,0.5981,0.7062
24.4,0.243,0.6612,0.5592,0.5974,0.6887,0.6431,0.6538,0.5783,0.6161,0.8134,0.5986,0.706
24.5,0.2223,0.6818,0.5476,0.5913,0.6943,0.6428,0.6685,0.5685,0.6185,0.8061,0.6008,0.7034
24.6,0.2003,0.7027,0.535,0.5862,0.6965,0.6413,0.6859,0.5598,0.6229,0.7945,0.6053,0.6999
24.7,0.1781,0.7226,0.522,0.5816,0.6956,0.6386,0.7059,0.5528,0.6294,0.7804,0.6124,0.6964
24.8,0.1564,0.7403,0.5093,0.5772,0.6921,0.6346,0.7269,0.5481,0.6375,0.7651,0.6215,0.6933
24.9,0.136,0.7543,0.4972,0.5725,0.6853,0.6289,0.7468,0.5454,0.6461,0.749,0.6315,0.6902
25,0.1185,0.763,0.4855,0.5675,0.675,0.6213,0.7644,0.5442,0.6543,0.7325,0.6411,0.6868
25.1,0.1052,0.7654,0.4741,0.5623,0.6611,0.6117,0.7793,0.5443,0.6618,0.7164,0.65,0.6832
25.2,0.096,0.7619,0.4636,0.5569,0.6449,0.6009,0.7913,0.5457,0.6685,0.7013,0.6581,0.6797
25.3,0.0887,0.7533,0.4549,0.5515,0.6276,0.5896,0.7995,0.5489,0.6742,0.6874,0.6657,0.6766
25.4,0.082,0.7405,0.449,0.5457,0.6097,0.5777,0.8027,0.554,0.6784,0.6751,0.6729,0.674
25.5,0.0748,0.7241,0.4463,0.5391,0.5912,0.5651,0.8005,0.5603,0.6804,0.6647,0.6797,0.6722
25.6,0.0672,0.705,0.4466,0.5319,0.5723,0.5521,0.793,0.5677,0.6803,0.6567,0.6862,0.6715
25.7,0.0593,0.6844,0.449,0.5247,0.5538,0.5392,0.7813,0.5759,0.6786,0.6515,0.6928,0.6722
25.8,0.0514,0.6631,0.4528,0.5182,0.5367,0.5275,0.7661,0.5852,0.6757,0.6493,0.6999,0.6746
25.9,0.0435,0.642,0.4583,0.5129,0.5215,0.5172,0.7482,0.5961,0.6722,0.6498,0.7078,0.6788
26,0.0349,0.6217,0.4663,0.509,0.5084,0.5087,0.7285,0.6088,0.6687,0.6529,0.7167,0.6848
26.1,0.0246,0.6032,0.477,0.5065,0.4979,0.5022,0.7083,0.6234,0.6658,0.6586,0.727,0.6928
26.2,0.0113,0.5869,0.4903,0.5055,0.4911,0.4983,0.6891,0.64,0.6645,0.6672,0.7388,0.703
26.3,-0.006,0.5737,0.5056,0.5061,0.4888,0.4975,0.672,0.6587,0.6653,0.679,0.7519,0.7155
26.4,-0.0267,0.5638,0.5222,0.5082,0.4915,0.4998,0.6575,0.6795,0.6685,0.6942,0.7661,0.7301
26.5,-0.0485,0.5567,0.539,0.5115,0.4987,0.5051,0.6454,0.7021,0.6737,0.7122,0.7808,0.7465
26.6,-0.0699,0.5516,0.555,0.5156,0.5094,0.5125,0.6349,0.7259,0.6804,0.7321,0.7952,0.7636
26.7,-0.0902,0.5478,0.5693,0.5207,0.5227,0.5217,0.6252,0.7503,0.6878,0.7527,0.8085,0.7806
26.8,-0.1096,0.5455,0.5821,0.5277,0.5387,0.5332,0.6162,0.7748,0.6955,0.7734,0.8201,0.7968
26.9,-0.1283,0.5455,0.5944,0.5381,0.5579,0.548,0.6078,0.7987,0.7032,0.7936,0.8297,0.8117
27,-0.1458,0.5487,0.6069,0.5528,0.5803,0.5666,0.6001,0.8208,0.7105,0.8128,0.8368,0.8248
27.1,-0.1606,0.5549,0.6195,0.5719,0.6054,0.5886,0.5932,0.8403,0.7167,0.8305,0.8408,0.8357
27.2,-0.1713,0.5634,0.631,0.5941,0.6321,0.6131,0.5867,0.8562,0.7214,0.8463,0.8415,0.8439
27.3,-0.177,0.5729,0.64,0.6181,0.6598,0.639,0.58,0.8679,0.724,0.8597,0.8387,0.8492
27.4,-0.1781,0.5834,0.646,0.6427,0.6873,0.665,0.5725,0.8753,0.7239,0.8705,0.8324,0.8514
27.5,-0.1747,0.5955,0.6488,0.6674,0.7134,0.6904,0.5632,0.8784,0.7208,0.8778,0.8223,0.85
27.6,-0.166,0.6099,0.6483,0.6923,0.7375,0.7149,0.552,0.8767,0.7143,0.8805,0.8083,0.8444
27.7,-0.1505,0.6266,0.6443,0.7176,0.7591,0.7384,0.5392,0.8695,0.7044,0.8785,0.7906,0.8346
27.8,-0.1268,0.6447,0.6362,0.7428,0.778,0.7604,0.5256,0.8565,0.6911,0.8721,0.77,0.821
27.9,-0.0947,0.6631,0.6234,0.7666,0.794,0.7803,0.5117,0.8372,0.6745,0.8615,0.7471,0.8043
28,-0.0556,0.6812,0.6056,0.7873,0.8073,0.7973,0.4971,0.8111,0.6541,0.8468,0.7219,0.7843
28.1,-0.0115,0.6988,0.5835,0.8038,0.8176,0.8107,0.4811,0.7781,0.6296,0.8273,0.694,0.7607
28.2,0.0353,0.7154,0.5585,0.8153,0.8239,0.8196,0.4639,0.7394,0.6016,0.8031,0.6633,0.7332
28.3,0.0826,0.7299,0.5337,0.8219,0.825,0.8235,0.4468,0.6977,0.5722,0.775,0.6307,0.7028
28.4,0.128,0.7412,0.5125,0.8234,0.8211,0.8223,0.4311,0.6559,0.5435,0.7444,0.598,0.6712
28.5,0.1684,0.7491,0.4973,0.8196,0.8134,0.8165,0.4175,0.6163,0.5169,0.7127,0.5671,0.6399
28.6,0.2008,0.7537,0.4893,0.8106,0.8034,0.807,0.4055,0.5804,0.4929,0.681,0.5396,0.6103
28.7,0.2242,0.7556,0.4881,0.7967,0.7922,0.7944,0.3949,0.5492,0.472,0.6501,0.5163,0.5832
28.8,0.2394,0.7548,0.4933,0.7784,0.7795,0.779,0.3864,0.5233,0.4549,0.6211,0.4978,0.5594
28.9,0.2477,0.7513,0.5043,0.7565,0.7654,0.761,0.3809,0.5032,0.442,0.5951,0.4845,0.5398
29,0.2497,0.7452,0.52,0.7315,0.7497,0.7406,0.3791,0.489,0.4341,0.5726,0.4767,0.5246
29.1,0.245,0.7366,0.5395,0.7038,0.7328,0.7183,0.381,0.4809,0.4309,0.5538,0.4742,0.514
29.2,0.234,0.7259,0.5627,0.6736,0.7149,0.6942,0.3861,0.4785,0.4323,0.5388,0.4771,0.5079
29.3,0.2176,0.7135,0.5894,0.6414,0.6959,0.6686,0.3943,0.4818,0.4381,0.5281,0.4852,0.5066
29.4,0.1972,0.7004,0.6189,0.6076,0.6757,0.6417,0.406,0.4907,0.4483,0.5227,0.498,0.5103
29.5,0.174,0.6872,0.649,0.5729,0.6543,0.6136,0.4215,0.5049,0.4632,0.5227,0.5145,0.5186
29.6,0.1493,0.6738,0.6774,0.5379,0.6316,0.5847,0.4404,0.5245,0.4824,0.5272,0.5334,0.5303
29.7,0.1243,0.6594,0.7028,0.5033,0.6066,0.5549,0.4616,0.5488,0.5052,0.5355,0.5537,0.5446
29.8,0.1001,0.6437,0.725,0.469,0.5777,0.5234,0.4843,0.5768,0.5306,0.5466,0.5746,0.5606
29.9,0.0775,0.6268,0.7444,0.4352,0.544,0.4896,0.508,0.6078,0.5579,0.56,0.5956,0.5778
