Time,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC
20.8,-0.2054,0.6201,0.8416,0.4957,0.6371,0.5664,0.9284,0.7614,0.8449,0.4272,0.6109,0.5191
20.9,-0.2446,0.5877,0.8298,0.4761,0.5917,0.5339,0.9004,0.7387,0.8195,0.4279,0.6007,0.5143
21,-0.2873,0.5587,0.818,0.4586,0.5487,0.5036,0.8743,0.717,0.7956,0.4292,0.5909,0.5101
21.1,-0.3319,0.5335,0.8065,0.4436,0.5084,0.476,0.8505,0.6961,0.7733,0.4313,0.5815,0.5064
21.2,-0.3768,0.5128,0.795,0.4315,0.4716,0.4515,0.8294,0.6757,0.7525,0.434,0.5722,0.5031
21.3,-0.4203,0.497,0.7836,0.4224,0.4389,0.4307,0.8109,0.6554,0.7332,0.4376,0.5635,0.5006
21.4,-0.4614,0.4863,0.7722,0.4163,0.411,0.4136,0.7952,0.6357,0.7155,0.4426,0.5567,0.4996
21.5,-0.4995,0.4806,0.7613,0.4129,0.3878,0.4003,0.7823,0.6173,0.6998,0.4492,0.5533,0.5013
21.6,-0.5341,0.4798,0.7514,0.412,0.3696,0.3908,0.7721,0.6013,0.6867,0.4574,0.5542,0.5058
21.7,-0.5643,0.4843,0.7424,0.4136,0.3567,0.3852,0.7642,0.5878,0.676,0.4665,0.5594,0.5129
21.8,-0.5894,0.4943,0.734,0.4178,0.3496,0.3837,0.7578,0.5766,0.6672,0.4757,0.5684,0.5221
21.9,-0.6096,0.5096,0.7257,0.4243,0.3485,0.3864,0.7524,0.567,0.6597,0.4847,0.5806,0.5326
22,-0.6253,0.5292,0.7174,0.4329,0.3531,0.393,0.7478,0.5594,0.6536,0.4929,0.595,0.544
22.1,-0.636,0.552,0.7093,0.4433,0.3631,0.4032,0.744,0.5539,0.649,0.4997,0.6109,0.5553
22.2,-0.6402,0.577,0.7016,0.4553,0.378,0.4167,0.7402,0.551,0.6456,0.5049,0.6274,0.5662
22.3,-0.6361,0.6033,0.6941,0.4689,0.3974,0.4332,0.7359,0.5501,0.643,0.508,0.6435,0.5758
22.4,-0.6224,0.6295,0.6864,0.4837,0.4204,0.4521,0.7305,0.5503,0.6404,0.5089,0.6581,0.5835
22.5,-0.6,0.6539,0.6778,0.4987,0.4457,0.4722,0.7238,0.5512,0.6375,0.5074,0.6701,0.5887
22.6,-0.5701,0.675,0.6678,0.5128,0.4713,0.4921,0.7164,0.5521,0.6342,0.5033,0.6784,0.5909
22.7,-0.5338,0.6921,0.6562,0.5257,0.4961,0.5109,0.7083,0.5532,0.6307,0.4967,0.6826,0.5896
22.8,-0.4915,0.7055,0.6429,0.5374,0.5191,0.5283,0.6998,0.5542,0.627,0.4874,0.6823,0.5849
22.9,-0.4434,0.7155,0.6276,0.5483,0.5399,0.5441,0.6909,0.5548,0.6229,0.4756,0.6777,0.5767
23,-0.3895,0.7221,0.6099,0.5582,0.5576,0.5579,0.6823,0.5548,0.6186,0.4615,0.6688,0.5652
23.1,-0.3304,0.7242,0.5894,0.5669,0.5708,0.5689,0.6744,0.554,0.6142,0.4452,0.6557,0.5504
23.2,-0.2666,0.7205,0.5657,0.574,0.5789,0.5764,0.6676,0.5519,0.6097,0.427,0.6386,0.5328
23.3,-0.199,0.7103,0.5386,0.5798,0.5816,0.5807,0.6621,0.5481,0.6051,0.4077,0.6179,0.5128
23.4,-0.1289,0.6943,0.5084,0.5851,0.5797,0.5824,0.6584,0.5425,0.6004,0.388,0.5943,0.4912
23.5,-0.0587,0.674,0.4758,0.591,0.5748,0.5829,0.657,0.5351,0.5961,0.3687,0.569,0.4689
23.6,0.0084,0.6512,0.4421,0.5982,0.5682,0.5832,0.6585,0.5266,0.5926,0.3506,0.5428,0.4467
23.7,0.0693,0.6274,0.4082,0.6072,0.5614,0.5843,0.6625,0.5174,0.59,0.3342,0.5165,0.4253
23.8,0.1222,0.6038,0.375,0.6185,0.5552,0.5868,0.6679,0.5078,0.5878,0.3201,0.491,0.4056
23.9,0.1659,0.5818,0.3431,0.6321,0.5502,0.5911,0.6737,0.4979,0.5858,0.3092,0.4668,0.388
24,0.2001,0.563,0.3134,0.6481,0.5463,0.5972,0.6796,0.4881,0.5839,0.3018,0.4448,0.3733
24.1,0.2252,0.5487,0.2868,0.6661,0.5434,0.6048,0.6858,0.479,0.5824,0.298,0.4259,0.3619
24.2,0.2415,0.5394,0.2643,0.6858,0.5418,0.6138,0.6922,0.4714,0.5818,0.2978,0.4106,0.3542
24.3,0.2503,0.5354,0.2463,0.7071,0.5419,0.6245,0.6985,0.4659,0.5822,0.3012,0.3996,0.3504
24.4,0.2534,0.5365,0.2326,0.7292,0.5442,0.6367,0.7042,0.4624,0.5833,0.3083,0.3929,0.3506
24.5,0.2529,0.5416,0.2229,0.7513,0.5482,0.6497,0.7092,0.4604,0.5848,0.3187,0.3907,0.3547
24.6,0.2504,0.5493,0.2172,0.772,0.5532,0.6626,0.713,0.4596,0.5863,0.3316,0.3927,0.3622
24.7,0.2474,0.5584,0.2162,0.7911,0.5584,0.6747,0.7153,0.4601,0.5877,0.3465,0.3989,0.3727
24.8,0.2456,0.5678,0.2207,0.8088,0.5634,0.6861,0.7156,0.4623,0.5889,0.3626,0.4093,0.386
24.9,0.2459,0.577,0.2304,0.8254,0.5683,0.6969,0.7139,0.4659,0.5899,0.3795,0.4232,0.4013
25,0.2481,0.5858,0.2445,0.8409,0.5735,0.7072,0.7104,0.4701,0.5902,0.3958,0.4388,0.4173
25.1,0.2508,0.594,0.2614,0.8551,0.58,0.7176,0.705,0.4744,0.5897,0.4107,0.4547,0.4327
25.2,0.2522,0.6017,0.28,0.8683,0.5889,0.7286,0.6976,0.4788,0.5882,0.4232,0.4701,0.4466
25.3,0.2518,0.6093,0.2993,0.8809,0.601,0.7409,0.6882,0.4838,0.586,0.4331,0.4849,0.459
25.4,0.2503,0.617,0.3189,0.8932,0.6166,0.7549,0.677,0.4898,0.5834,0.4409,0.4995,0.4702
25.5,0.2475,0.6248,0.339,0.9051,0.6356,0.7703,0.6641,0.4971,0.5806,0.4468,0.5142,0.4805
25.6,0.2408,0.6328,0.3592,0.9154,0.6574,0.7864,0.6497,0.5052,0.5775,0.4509,0.5287,0.4898
25.7,0.2269,0.6406,0.3783,0.9226,0.6813,0.8019,0.6333,0.5134,0.5734,0.4527,0.5426,0.4976
25.8,0.2042,0.6484,0.395,0.9255,0.7066,0.8161,0.6147,0.5215,0.5681,0.4516,0.5555,0.5036
25.9,0.1734,0.6565,0.4087,0.9239,0.7327,0.8283,0.5946,0.5293,0.5619,0.4471,0.5667,0.5069
26,0.136,0.6649,0.4196,0.9177,0.7587,0.8382,0.5741,0.5369,0.5555,0.4389,0.5751,0.507
26.1,0.0926,0.6739,0.4277,0.9071,0.783,0.8451,0.5543,0.5441,0.5492,0.4272,0.5799,0.5036
26.2,0.0433,0.6834,0.4327,0.8923,0.8043,0.8483,0.5355,0.5504,0.5429,0.4127,0.5804,0.4965
26.3,-0.0112,0.6931,0.434,0.8736,0.8217,0.8476,0.518,0.5553,0.5367,0.3963,0.5764,0.4863
26.4,-0.0698,0.7025,0.4309,0.8514,0.835,0.8432,0.5025,0.5582,0.5304,0.3795,0.5679,0.4737
26.5,-0.1313,0.7114,0.4235,0.8265,0.8445,0.8355,0.4896,0.559,0.5243,0.3632,0.555,0.4591
26.6,-0.1955,0.7199,0.4127,0.7999,0.8506,0.8253,0.4793,0.5581,0.5187,0.3484,0.5382,0.4433
26.7,-0.2618,0.7287,0.3995,0.7731,0.8544,0.8137,0.4714,0.5558,0.5136,0.3351,0.5177,0.4264
26.8,-0.3292,0.738,0.3848,0.7475,0.8566,0.8021,0.4653,0.553,0.5092,0.3232,0.4945,0.4088
26.9,-0.396,0.7477,0.369,0.7239,0.8579,0.7909,0.4606,0.5503,0.5055,0.3127,0.4698,0.3913
27,-0.4607,0.7565,0.352,0.7018,0.8586,0.7802,0.4567,0.5478,0.5023,0.3039,0.4449,0.3744
27.1,-0.5224,0.7628,0.3339,0.6804,0.8587,0.7696,0.4527,0.5453,0.499,0.2966,0.4207,0.3586
27.2,-0.5806,0.7656,0.3152,0.6588,0.8584,0.7586,0.4484,0.5429,0.4957,0.2912,0.3979,0.3445
27.3,-0.6347,0.7647,0.297,0.6372,0.8576,0.7474,0.4444,0.542,0.4932,0.2877,0.3776,0.3327
27.4,-0.683,0.7608,0.2802,0.6161,0.8566,0.7363,0.4416,0.5439,0.4927,0.2866,0.3609,0.3238
27.5,-0.7245,0.7548,0.2654,0.5958,0.8557,0.7258,0.4407,0.5489,0.4948,0.2879,0.3485,0.3182
27.6,-0.7574,0.7468,0.2525,0.5762,0.8552,0.7157,0.4414,0.5566,0.499,0.2913,0.3409,0.3161
27.7,-0.7779,0.7359,0.241,0.5573,0.8543,0.7058,0.4425,0.5652,0.5038,0.2967,0.3378,0.3172
27.8,-0.7824,0.7211,0.2297,0.5389,0.8513,0.6951,0.4434,0.5733,0.5084,0.303,0.3378,0.3204
27.9,-0.768,0.7023,0.2185,0.5212,0.8444,0.6828,0.4444,0.5805,0.5124,0.3091,0.3398,0.3245
28,-0.7342,0.6809,0.2078,0.5046,0.8329,0.6688,0.4456,0.5875,0.5166,0.3146,0.3434,0.329
28.1,-0.6819,0.6589,0.1984,0.4902,0.8177,0.654,0.4473,0.5955,0.5214,0.3196,0.3485,0.334
28.2,-0.613,0.6385,0.1918,0.4789,0.8008,0.6399,0.4499,0.6056,0.5278,0.3242,0.3551,0.3397
28.3,-0.5301,0.6214,0.1892,0.4717,0.7837,0.6277,0.4541,0.6183,0.5362,0.3284,0.363,0.3457
28.4,-0.4369,0.6083,0.192,0.4691,0.7666,0.6179,0.4601,0.6342,0.5472,0.3319,0.3715,0.3517
28.5,-0.3385,0.5988,0.2009,0.471,0.7484,0.6097,0.4679,0.6535,0.5607,0.3349,0.3809,0.3579
28.6,-0.2397,0.5917,0.216,0.4763,0.7277,0.602,0.4771,0.6751,0.5761,0.3379,0.3914,0.3647
28.7,-0.1439,0.5854,0.2365,0.4836,0.7031,0.5934,0.4877,0.6968,0.5922,0.3413,0.4032,0.3723
28.8,-0.0537,0.5785,0.2612,0.4916,0.6742,0.5829,0.4999,0.7161,0.608,0.3453,0.4156,0.3804
28.9,0.0282,0.5702,0.2888,0.4993,0.6416,0.5704,0.5138,0.7314,0.6226,0.3496,0.428,0.3888
29,0.1004,0.5603,0.318,0.5062,0.606,0.5561,0.5293,0.7417,0.6355,0.3542,0.4397,0.397
29.1,0.1631,0.5486,0.3477,0.5122,0.5681,0.5401,0.5459,0.7471,0.6465,0.3595,0.4507,0.4051
29.2,0.2172,0.5349,0.3768,0.5174,0.5287,0.523,0.5628,0.7474,0.6551,0.3659,0.4611,0.4135
29.3,0.263,0.5195,0.4042,0.5222,0.4882,0.5052,0.5799,0.7422,0.6611,0.3734,0.4708,0.4221
29.4,0.3002,0.5026,0.4285,0.5272,0.4474,0.4873,0.5972,0.7312,0.6642,0.3818,0.4799,0.4308
29.5,0.3296,0.4849,0.4487,0.5329,0.4067,0.4698,0.615,0.7152,0.6651,0.3908,0.4888,0.4398
29.6,0.3519,0.4669,0.4645,0.5398,0.3674,0.4536,0.6336,0.6962,0.6649,0.4004,0.4983,0.4493
29.7,0.3682,0.4487,0.4765,0.5481,0.3307,0.4394,0.6531,0.6762,0.6646,0.4104,0.5088,0.4596
29.8,0.3791,0.4302,0.485,0.5575,0.2973,0.4274,0.6737,0.6561,0.6649,0.4207,0.5204,0.4706
29.9,0.3849,0.4111,0.4903,0.5674,0.268,0.4177,0.6956,0.6367,0.6662,0.4311,0.533,0.482
